Player,Pos,Squad,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
Player,Pos,Squad,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Mateusz Klich,MF,Leeds United,0.5,18,17,1,0,0,2,1,2,1,0,0,0,9,6,3,0,16,1,0,1,14,0,0,1,1
Robin Koch,DF,Leeds United,3,127,119,8,8,0,7,2,0,0,0,0,0,85,11,31,9,105,12,0,0,99,0,4,2,3
Ezri Konsa,DF,Aston Villa,2,113,109,4,4,0,10,0,0,0,0,0,0,96,6,11,19,86,5,0,0,100,0,2,1,0
Kalidou Koulibaly,DF,Chelsea,2.7,205,198,7,6,1,20,7,0,0,0,0,0,157,14,34,70,122,7,1,0,177,0,4,2,2
Cheikhou Kouyaté,MF,Nott'ham Forest,0.1,7,7,0,0,0,1,0,0,0,0,0,0,5,2,0,2,4,1,0,0,7,0,0,0,0
Emil Krafth,DF,Newcastle Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Kulusevski,MFFW,Tottenham,2.9,87,84,3,0,0,22,1,5,2,0,0,0,69,9,9,67,16,2,1,1,74,0,1,3,6
Adam Lallana,MF,Brighton,2.2,86,83,3,0,0,20,0,2,0,0,0,0,66,13,7,20,58,4,1,2,74,0,2,1,2
Tariq Lamptey,DF,Brighton,0.4,15,12,3,0,0,1,1,2,0,0,0,0,7,5,3,3,8,0,3,0,12,0,0,1,0
Manuel Lanzini,MFFW,West Ham,1,55,54,1,0,0,2,2,0,0,0,0,0,44,4,7,6,46,2,0,1,44,0,3,2,3
Roméo Lavia,MF,Southampton,3,110,108,2,2,0,15,4,0,0,0,0,0,91,5,14,12,93,3,0,0,103,0,2,1,1
Clément Lenglet,DF,Tottenham,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0
Bernd Leno,GK,Fulham,1,27,12,15,8,0,3,0,0,0,0,0,0,8,1,18,5,18,0,0,2,16,2,1,1,0
Jefferson Lerma,DFMF,Bournemouth,3,114,105,9,9,0,13,0,0,0,0,0,0,85,8,21,14,94,4,0,0,101,0,1,1,1
Rico Lewis,DF,Manchester City,0.1,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,0
Keane Lewis-Potter,FWMF,Brentford,0.7,14,14,0,0,0,2,0,1,0,0,0,0,10,3,1,2,10,1,0,1,9,0,0,2,1
Jesse Lingard,MF,Nott'ham Forest,2.9,92,84,8,1,0,3,1,2,0,0,0,0,69,15,8,8,75,4,3,2,75,1,2,5,0
Diego Llorente,DF,Leeds United,3,114,108,6,5,0,17,3,1,0,0,0,0,76,12,26,24,75,7,0,2,95,1,4,1,3
Hugo Lloris,GK,Tottenham,3,85,56,29,3,0,1,2,0,0,0,0,0,65,0,20,42,25,0,0,12,75,0,1,1,0
Ruben Loftus-Cheek,DFMF,Chelsea,2.3,95,89,6,0,0,18,2,4,0,0,0,0,67,17,11,7,73,4,6,1,78,1,1,3,3
Sean Longstaff,MF,Newcastle Utd,0.5,12,12,0,0,0,2,0,0,0,0,0,0,10,2,0,3,8,1,0,0,9,0,0,0,1
Jamal Lowe,FW,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Luiz,MF,Aston Villa,0.3,41,37,4,3,0,4,3,0,0,0,0,0,29,5,7,1,38,0,1,1,41,0,0,0,0
Lyanco,MF,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Mac Allister,MF,Brighton,3,152,147,5,4,0,18,9,1,1,1,0,0,118,13,21,13,135,3,0,0,133,0,3,3,2
James Maddison,MF,Leicester City,3,161,144,17,7,0,16,7,4,9,4,5,0,118,13,30,11,148,2,0,0,128,0,2,4,7
Harry Maguire,DF,Manchester Utd,2,128,125,3,3,0,16,14,1,0,0,0,0,95,11,22,16,95,10,0,1,116,0,2,2,1
Riyad Mahrez,FW,Manchester City,1,80,76,4,3,0,6,9,5,1,0,0,1,58,8,14,74,6,0,0,0,70,0,2,1,2
Tyrell Malacia,DF,Manchester Utd,1.5,58,44,14,1,0,6,3,2,2,1,0,1,36,11,11,39,3,1,11,3,49,1,2,1,1
Orel Mangala,MF,Nott'ham Forest,1.7,72,72,0,0,0,10,2,0,0,0,0,0,52,10,10,3,60,6,0,0,58,2,3,3,0
Sekou Mara,FWMF,Southampton,0.9,13,11,2,0,0,2,0,0,0,0,0,0,10,2,1,1,11,1,0,0,10,0,0,0,0
Solly March,DFMF,Brighton,2.7,97,92,5,0,0,23,3,7,2,1,0,0,61,18,18,78,11,3,3,0,69,0,2,3,5
Anthony Martial,FW,Manchester Utd,0.5,12,10,2,0,1,1,0,0,0,0,0,0,8,1,3,0,10,1,1,0,10,0,0,1,1
Martinelli,FW,Arsenal,2.8,83,73,10,2,0,16,4,6,8,7,0,0,57,7,19,1,79,1,0,1,64,0,0,0,3
Emiliano Martínez,GK,Aston Villa,3,77,54,23,8,0,13,4,0,0,0,0,0,37,8,32,5,57,0,0,12,54,2,2,0,0
Lisandro Martínez,DF,Manchester Utd,2.5,128,115,13,5,0,17,6,0,0,0,0,0,97,5,26,105,11,8,0,1,117,1,1,1,0
Jean-Philippe Mateta,FW,Crystal Palace,0.6,17,16,1,0,0,4,0,0,0,0,0,0,11,4,2,3,11,2,0,0,14,0,0,0,1
Joël Matip,DF,Liverpool,1,93,92,1,1,0,6,2,0,0,0,0,0,77,8,8,13,74,5,0,0,79,0,2,4,0
Kevin Mbabu,DF,Fulham,0.2,14,12,2,0,0,1,0,3,0,0,0,0,5,4,5,0,10,1,2,0,11,0,0,0,0
Bryan Mbeumo,FWDF,Brentford,2.8,80,68,12,1,0,12,4,5,4,4,0,0,38,28,14,55,13,3,7,1,51,0,5,5,7
John McGinn,MF,Aston Villa,2.8,137,128,9,3,0,28,9,6,4,3,0,0,100,8,29,108,23,0,1,1,110,1,4,3,1
Scott McKenna,DF,Nott'ham Forest,3,92,80,12,2,0,13,0,0,0,0,0,0,50,8,34,58,9,9,10,0,62,1,2,7,0
Dwight McNeil,FW,Everton,1.7,60,54,6,0,1,6,1,3,5,5,0,0,37,13,10,53,2,3,1,1,43,0,1,1,6
Scott McTominay,MF,Manchester Utd,2.4,85,85,0,0,0,11,4,1,0,0,0,0,63,9,13,6,72,3,0,1,67,0,4,4,2
Ben Mee,DF,Brentford,2.6,162,152,10,3,0,20,4,3,0,0,0,0,98,18,46,115,22,9,7,0,124,1,5,2,7
Edouard Mendy,GK,Chelsea,3,79,60,19,0,0,8,0,0,0,0,0,0,55,1,23,4,63,0,0,12,66,0,1,1,0
Chris Mepham,DF,Bournemouth,3,130,126,4,4,0,19,2,0,0,0,0,0,87,9,34,14,102,9,0,0,103,1,2,3,2
Illan Meslier,GK,Leeds United,3,89,58,31,7,0,6,1,0,0,0,0,0,46,4,39,59,13,0,0,16,52,0,1,0,0
Alexander Mighten,FW,Nott'ham Forest,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Luka Milivojević,MF,Crystal Palace,0.4,20,20,0,0,0,2,1,1,0,0,0,0,17,1,2,5,15,0,0,0,17,0,0,0,0
James Milner,MF,Liverpool,1.8,106,104,2,1,1,18,4,7,0,0,0,0,70,17,19,9,89,1,1,1,83,1,1,4,2
Yerry Mina,DF,Everton,0.8,18,17,1,1,0,3,2,0,0,0,0,0,15,0,3,0,17,1,0,0,14,0,1,0,1
Tyrone Mings,DF,Aston Villa,2,121,116,5,4,0,10,5,0,0,0,0,0,89,7,25,94,20,3,1,0,105,0,4,3,1
Tyrick Mitchell,DF,Crystal Palace,2.9,182,145,37,4,0,21,2,5,0,0,0,0,98,38,46,134,6,9,33,0,139,0,3,4,9
Kaoru Mitoma,DF,Brighton,0.2,9,8,1,0,0,1,0,1,0,0,0,0,4,5,0,3,5,0,1,0,7,0,0,1,1
Aleksandar Mitrović,FW,Fulham,3,64,62,2,0,0,29,1,1,0,0,0,0,30,20,14,8,36,3,0,1,39,0,4,4,3
Kieffer Moore,FW,Bournemouth,3,67,61,6,0,0,24,1,3,0,0,0,0,30,21,16,2,41,10,0,4,42,0,3,5,3
Mason Mount,MFFW,Chelsea,2.6,133,122,11,0,0,21,7,5,10,2,7,1,97,13,23,15,115,2,0,1,102,1,1,4,6
Lucas Moura,DFFW,Tottenham,0.2,8,7,1,0,0,1,0,0,0,0,0,0,5,3,0,0,6,1,1,0,7,0,0,0,1
João Moutinho,MF,Wolves,0.6,45,42,3,2,1,5,2,0,1,0,1,0,31,7,7,2,41,1,0,0,39,0,0,2,0
Jacob Murphy,FW,Newcastle Utd,0.3,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,4,0,0,0,0
Enock Mwepu,MFFW,Brighton,0.5,26,26,0,0,0,2,0,2,0,0,0,0,22,3,1,4,22,0,0,0,21,0,0,1,1
Vitaliy Mykolenko,DF,Everton,3,139,112,27,2,1,12,2,3,1,1,0,0,80,28,31,102,7,4,24,0,104,1,1,2,8
Wilfred Ndidi,MF,Leicester City,3,170,165,5,5,0,19,0,0,0,0,0,0,142,11,17,21,138,7,0,1,148,0,4,3,2
Pedro Neto,FWDF,Wolves,2.6,98,85,13,4,0,4,5,9,6,3,3,0,62,14,22,73,18,4,3,0,69,0,1,2,5
Rúben Neves,MF,Wolves,3,187,173,14,11,0,24,18,1,3,2,1,0,117,23,47,14,161,7,0,1,155,0,2,2,6
Moussa Niakhate,DF,Nott'ham Forest,1.8,47,45,2,2,0,11,0,0,0,0,0,0,29,7,11,32,6,2,0,1,38,0,0,1,0
Rasmus Nissen,DF,Leeds United,3,148,120,28,4,0,14,2,2,0,0,0,0,79,33,36,10,99,12,24,0,104,0,4,9,4
Eddie Nketiah,FW,Arsenal,0.4,12,12,0,0,0,4,0,0,0,0,0,0,11,0,1,1,11,0,0,0,12,0,0,0,0
Christian Nørgaard,MF,Brentford,2.7,112,106,6,2,0,15,1,3,0,0,0,0,80,9,23,12,92,3,1,0,88,1,1,4,1
Matheus Nunes,MF,Wolves,1,39,39,0,0,0,6,2,1,0,0,0,0,33,2,4,6,32,1,0,0,37,0,0,0,0
Darwin Núñez,FW,Liverpool,1.1,18,18,0,0,0,4,2,2,0,0,0,0,7,7,4,2,12,1,0,0,12,0,0,1,0
Lewis O'Brien,MF,Nott'ham Forest,2.8,86,83,3,3,0,9,1,2,0,0,0,0,62,8,16,68,9,6,0,0,64,0,1,4,2
Martin Ødegaard,MF,Arsenal,2.8,143,135,8,7,0,27,3,0,0,0,0,0,111,19,13,113,15,6,1,3,118,2,3,7,6
Michael Olise,FW,Crystal Palace,0.3,9,8,1,0,0,3,0,0,1,1,0,0,5,3,1,6,3,0,0,0,6,0,0,0,2
Amadou Onana,MF,Everton,0.5,13,13,0,0,0,1,0,1,0,0,0,0,12,0,1,3,9,1,0,0,10,0,0,0,0
Frank Onyeka,MF,Brentford,0.1,5,5,0,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,0,0,4,0,0,0,0
João Palhinha,MF,Fulham,3,80,77,3,0,0,20,1,0,0,0,0,0,49,5,26,3,58,12,0,0,58,0,1,2,3
Cole Palmer,MF,Manchester City,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Thomas Partey,MF,Arsenal,3,166,162,4,4,0,36,2,1,0,0,0,0,130,15,21,13,141,7,0,1,137,1,1,3,5
Nathan Patterson,DF,Everton,3,99,73,26,1,0,11,2,4,0,0,0,0,51,28,20,1,65,5,25,1,82,1,1,3,3
Ben Pearson,MF,Bournemouth,2.3,81,78,3,2,0,16,1,0,0,0,0,0,53,7,21,22,51,4,0,0,64,0,2,3,0
Andreas Pereira,MF,Fulham,2.9,88,71,17,4,0,12,5,4,11,4,6,0,52,7,29,16,67,4,0,0,54,2,4,7,5
Ayoze Pérez,MF,Leicester City,0.7,28,28,0,0,0,4,0,0,0,0,0,0,23,3,2,1,25,2,0,0,22,0,0,0,4
Ivan Perišić,DF,Tottenham,1.2,58,47,11,1,0,8,4,9,5,4,0,1,26,11,21,21,24,4,5,1,39,0,1,2,4
Romain Perraud,DF,Southampton,0.2,8,6,2,1,0,1,0,1,0,0,0,0,5,2,1,6,1,0,1,0,5,0,0,1,1
Kalvin Phillips,MF,Manchester City,0,8,8,0,0,0,1,0,0,0,0,0,0,6,0,2,2,6,0,0,0,6,0,0,1,0
Nathaniel Phillips,DF,Liverpool,0.7,73,71,2,2,0,4,5,0,0,0,0,0,52,5,16,12,56,3,0,0,64,0,0,2,1
Jordan Pickford,GK,Everton,3,103,76,27,7,1,7,3,0,0,0,0,0,45,6,52,77,7,0,0,16,66,0,4,0,1
Daniel Podence,MFFW,Wolves,2.6,92,88,4,0,0,13,1,2,0,0,0,0,60,17,15,18,68,3,1,2,58,1,3,10,5
Nick Pope,GK,Newcastle Utd,3,75,55,20,6,0,5,0,0,0,0,0,0,23,4,48,5,44,0,0,18,43,0,3,0,0
Dennis Praet,MF,Leicester City,0.3,15,15,0,0,0,2,0,0,0,0,0,0,12,2,1,2,13,0,0,0,13,0,0,0,0
Christian Pulisic,MFFW,Chelsea,0.7,16,16,0,0,0,3,1,0,0,0,0,0,14,1,1,1,15,0,0,0,13,0,0,0,1
Aaron Ramsdale,GK,Arsenal,3,81,64,17,8,0,8,2,0,0,0,0,0,37,1,43,9,56,0,0,10,53,0,5,1,1
Jacob Ramsey,MF,Aston Villa,2.5,120,118,2,2,0,15,1,2,0,0,0,0,107,4,9,18,97,3,0,0,112,0,1,0,1
Marcus Rashford,FW,Manchester Utd,2.9,60,60,0,0,0,8,0,3,0,0,0,0,47,5,8,3,53,3,0,1,42,2,0,7,2
David Raya,GK,Brentford,3,141,103,38,13,0,13,5,0,0,0,0,0,48,10,83,12,107,0,0,15,81,1,5,1,0
Tim Ream,DF,Fulham,3,110,107,3,3,0,12,5,0,0,0,0,0,65,5,40,72,20,14,0,0,86,0,4,1,1
Nathan Redmond,DF,Southampton,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Harrison Reed,MF,Fulham,3,103,97,6,4,0,19,4,6,2,0,1,1,56,10,37,6,81,10,0,0,67,1,4,5,6
Bobby Reid,FW,Fulham,3,83,83,0,0,0,17,2,6,0,0,0,0,58,11,14,9,69,1,0,1,53,3,0,7,2
Declan Rice,MF,West Ham,3,154,152,2,2,0,25,11,2,0,0,0,0,116,16,22,28,112,9,0,0,131,0,0,5,3
Chris Richards,DF,Crystal Palace,0.1,9,8,1,0,0,5,0,0,0,0,0,0,5,2,2,4,2,1,1,0,8,0,0,0,1
Richarlison,MFFW,Tottenham,0.5,12,12,0,0,0,2,0,0,0,0,0,0,10,2,0,0,11,1,0,0,11,0,0,0,0
Andrew Robertson,DF,Liverpool,2.6,226,177,49,6,0,10,10,8,6,3,3,0,141,45,40,167,12,7,37,0,185,0,2,6,5
Antonee Robinson,DF,Fulham,3,113,90,23,0,0,14,2,9,0,0,0,0,43,26,44,63,14,11,23,0,78,0,1,4,3
Marc Roca,MF,Leeds United,2.4,119,116,3,3,0,13,1,0,0,0,0,0,92,6,21,91,21,7,0,0,99,0,1,4,3
Marek Rodák,GK,Fulham,2,60,38,22,7,0,5,2,0,0,0,0,0,13,0,47,7,41,0,0,3,30,0,2,1,0
Rodri,MF,Manchester City,3,308,306,2,2,1,33,12,1,0,0,0,0,256,18,34,39,254,6,0,0,286,0,2,6,3
Rodrigo,FWMF,Leeds United,2.6,71,68,3,0,0,9,3,3,0,0,0,0,38,17,16,50,11,2,1,2,48,0,2,4,4
Mads Roerslev,DF,Brentford,1,21,16,5,1,0,1,0,0,0,0,0,0,11,3,7,2,12,2,4,0,17,0,1,0,1
Cristian Romero,DF,Tottenham,2,108,105,3,3,0,16,7,0,0,0,0,0,87,4,17,6,96,5,0,0,95,0,1,3,5
Oriol Romeu,MF,Southampton,0.8,30,30,0,0,0,9,2,1,0,0,0,0,21,6,3,4,24,0,0,0,27,0,0,2,0
Cristiano Ronaldo,FW,Manchester Utd,1.5,42,38,4,0,0,7,1,0,0,0,0,0,34,3,5,3,35,0,0,1,38,0,1,1,0
Salomón Rondón,FW,Everton,0.9,18,17,1,0,0,10,0,0,0,0,0,0,5,11,2,1,5,1,0,4,17,0,0,0,0
José Sá,GK,Wolves,3,102,74,28,3,0,10,3,0,0,0,0,0,63,4,35,8,72,0,0,15,76,0,1,2,1
Allan Saint-Maximin,FW,Newcastle Utd,2.8,97,96,1,0,0,7,2,11,0,0,0,0,74,8,15,13,82,0,1,1,61,1,1,10,3
Bukayo Saka,FW,Arsenal,2.9,112,103,9,2,1,25,5,6,5,5,0,0,82,12,18,86,17,4,2,0,89,0,1,5,2
Mohamed Salah,FW,Liverpool,3,95,94,1,0,0,21,1,10,0,0,0,0,73,10,12,78,15,0,1,0,72,1,2,2,5
William Saliba,DF,Arsenal,3,172,170,2,2,0,17,1,0,0,0,0,0,146,10,16,10,148,10,0,1,160,0,2,1,0
Mohammed Salisu,DF,Southampton,3,157,142,15,7,0,23,1,2,0,0,0,0,96,6,55,128,6,13,8,0,117,0,1,5,2
Albert Sambi Lokonga,MF,Arsenal,0,5,5,0,0,0,1,0,0,0,0,0,0,4,1,0,2,3,0,0,0,4,0,0,0,0
Davinson Sánchez,DF,Tottenham,1,39,38,1,0,0,1,1,0,0,0,0,0,30,6,3,6,29,2,1,1,36,0,0,0,0
Robert Sánchez,GK,Brighton,3,94,64,30,11,0,13,6,0,0,0,0,0,25,3,66,4,73,0,0,8,45,2,9,4,0
Jadon Sancho,FW,Manchester Utd,2.4,88,86,2,0,0,6,2,2,0,0,0,0,67,16,5,9,73,4,2,0,72,0,2,7,4
Gianluca Scamacca,FW,West Ham,0.9,19,19,0,0,0,10,1,0,0,0,0,0,5,8,6,1,11,2,0,1,13,1,0,0,2
Fabian Schär,DF,Newcastle Utd,3,111,107,4,4,0,14,5,0,0,0,0,0,59,10,42,8,87,7,0,0,74,0,4,6,1
Jeffrey Schlupp,MF,Crystal Palace,2.8,85,82,3,3,0,19,4,0,0,0,0,0,57,12,16,66,12,3,0,0,62,0,4,1,4
Nélson Semedo,DF,Wolves,0.4,21,17,4,0,0,2,0,1,0,0,0,0,12,6,3,4,13,0,4,0,14,0,0,1,1
Marcos Senesi,DF,Bournemouth,0.6,24,24,0,0,0,3,0,0,0,0,0,0,17,0,7,19,2,3,0,0,22,0,0,0,0
Ryan Sessegnon,DF,Tottenham,1.5,64,42,22,1,0,4,1,4,0,0,0,0,33,11,20,30,10,2,21,0,48,0,0,0,1
Luke Shaw,DF,Manchester Utd,1.5,105,89,16,1,0,7,5,3,2,0,0,2,63,13,29,80,4,7,13,0,85,0,0,0,3
Bernardo Silva,FWMF,Manchester City,1.4,69,62,7,0,0,5,3,2,1,0,1,0,49,10,10,59,2,2,6,0,60,0,0,1,0
Thiago Silva,DF,Chelsea,3,212,207,5,5,0,19,6,0,0,0,0,0,161,19,32,21,174,10,0,0,188,0,3,2,2
Luis Sinisterra,FW,Leeds United,0.3,15,15,0,0,0,4,0,0,0,0,0,0,12,2,1,2,11,0,0,0,13,0,0,0,0
Adam Smith,DF,Bournemouth,3,113,92,21,1,0,6,1,7,0,0,0,0,55,22,36,12,74,6,20,1,84,0,2,3,5
Emile Smith Rowe,MFFW,Arsenal,0.3,11,9,2,0,1,3,1,0,2,2,0,0,6,1,4,1,8,1,0,0,10,0,0,0,0
Dominic Solanke,FW,Bournemouth,1,9,9,0,0,0,2,0,0,0,0,0,0,4,3,2,1,6,0,0,0,6,0,0,1,0
Manor Solomon,FW,Fulham,0.3,3,3,0,0,0,1,0,0,0,0,0,0,2,0,1,1,2,0,0,0,2,0,1,0,0
Tomáš Souček,MF,West Ham,3,84,83,1,1,0,12,2,0,0,0,0,0,58,9,17,22,53,4,0,0,62,0,3,3,0
Jack Stacey,DF,Bournemouth,1,26,23,3,0,0,5,1,1,0,0,0,0,15,4,7,3,19,0,3,0,17,1,1,1,2
Junior Stanislas,MF,Bournemouth,0.3,8,8,0,0,0,4,1,0,0,0,0,0,7,0,1,0,8,0,0,0,4,0,1,0,0
Jay Stansfield,FW,Fulham,0.9,21,21,0,0,0,10,0,0,0,0,0,0,8,5,8,2,17,2,0,0,9,0,1,1,3
Jack Stephens,DF,Southampton,0.5,27,24,3,1,0,3,0,1,0,0,0,0,20,2,5,1,24,0,2,0,23,0,0,1,0
Raheem Sterling,FWMF,Chelsea,2.9,77,73,4,0,0,21,1,3,0,0,0,0,71,2,4,7,69,1,0,0,58,1,0,7,2
John Stones,DF,Manchester City,1.3,69,67,2,0,0,2,0,0,1,0,0,0,62,4,3,3,61,5,0,0,65,0,0,1,0
Pascal Struijk,DF,Leeds United,3,138,102,36,1,0,13,1,1,0,0,0,0,76,34,28,79,14,4,35,1,115,0,1,4,2
Crysencio Summerville,FW,Leeds United,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0,0
Sam Surridge,FW,Nott'ham Forest,0.9,17,17,0,0,0,6,0,2,0,0,0,0,8,3,6,1,11,4,0,0,8,0,0,0,0
Matt Targett,DF,Newcastle Utd,1,61,49,12,4,0,5,2,3,3,1,1,0,40,10,11,48,4,4,5,0,49,1,0,2,2
James Tarkowski,DF,Everton,3,121,116,5,4,0,9,9,0,0,0,0,0,69,15,37,18,83,15,1,1,100,1,3,3,0
Marcus Tavernier,FWMF,Bournemouth,2.8,87,76,11,2,0,23,4,2,8,5,3,0,65,6,16,74,6,4,0,0,59,1,0,4,6
Kenny Tete,DF,Fulham,2.8,131,87,44,2,0,18,0,3,0,0,0,0,45,46,40,5,69,11,42,1,100,1,2,3,4
Youri Tielemans,MF,Leicester City,2,121,118,3,1,0,15,2,1,0,0,0,0,91,10,20,29,86,1,1,0,101,2,1,5,4
Kieran Tierney,DFFW,Arsenal,0.3,15,15,0,0,0,2,0,0,0,0,0,0,7,1,7,11,0,3,0,0,9,1,1,0,0
Harry Toffolo,DF,Nott'ham Forest,3,120,99,21,0,0,22,0,8,0,0,0,0,56,30,34,82,10,2,21,1,75,0,3,8,6
Takehiro Tomiyasu,DF,Arsenal,0.4,18,16,2,0,0,1,0,0,0,0,0,0,12,2,4,3,12,1,2,0,15,0,0,0,1
Ivan Toney,FW,Brentford,3,73,67,6,1,1,20,0,2,1,0,0,0,36,16,21,12,43,6,0,1,49,1,2,5,1
Adama Traoré,DFFW,Wolves,0.4,13,12,1,0,0,2,2,2,0,0,0,0,7,3,3,1,10,0,1,1,10,0,0,0,0
Mark Travers,GK,Bournemouth,3,91,45,46,12,0,7,1,0,0,0,0,0,58,2,31,9,66,0,0,13,76,0,2,0,1
Kieran Trippier,DF,Newcastle Utd,3,181,135,46,7,0,10,11,8,15,4,5,4,81,29,71,10,138,4,24,0,124,2,5,7,7
Leandro Trossard,DFFW,Brighton,2.6,93,88,5,0,0,12,0,8,0,0,0,0,56,19,18,24,61,2,5,0,67,0,1,1,6
Kostas Tsimikas,DF,Liverpool,0.4,30,23,7,3,0,2,1,4,1,1,0,0,17,5,8,24,3,0,3,0,23,0,2,0,0
Deniz Undav,FW,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yan Valery,DF,Southampton,0.5,24,23,1,1,0,5,0,1,0,0,0,0,18,0,6,1,21,1,0,0,17,0,3,2,1
Virgil van Dijk,DF,Liverpool,3,256,253,3,3,0,21,16,0,0,0,0,0,186,23,47,33,186,25,0,2,225,0,4,5,0
Raphaël Varane,DF,Manchester Utd,1.5,45,44,1,1,0,5,0,0,0,0,0,0,32,3,10,17,21,5,0,0,37,0,1,0,1
Jamie Vardy,FW,Leicester City,2.5,29,22,7,0,0,6,0,0,0,0,0,0,19,7,3,4,19,1,0,1,23,0,1,1,2
Joël Veltman,DF,Brighton,3,147,114,33,5,0,9,3,2,0,0,0,0,80,25,42,19,83,13,28,1,118,0,7,1,2
Rúben Vinagre,DF,Everton,0.2,20,14,6,1,0,2,0,1,0,0,0,0,13,5,2,15,0,0,5,0,13,0,0,2,0
Kyle Walker,DF,Manchester City,2.9,241,217,24,7,0,14,3,3,0,0,0,0,185,25,31,12,205,5,17,0,214,0,4,5,2
Kyle Walker-Peters,DF,Southampton,3,111,82,29,1,0,16,0,7,0,0,0,0,61,23,27,10,67,3,28,0,76,0,4,1,11
Aaron Wan-Bissaka,DF,Manchester Utd,0.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Danny Ward,GK,Leicester City,3,100,70,30,10,0,14,1,0,0,0,0,0,55,7,38,10,69,0,0,21,71,1,1,1,0
Joel Ward,DF,Crystal Palace,2,90,79,11,1,0,10,2,2,0,0,0,0,40,21,29,6,61,10,10,0,58,0,3,1,4
James Ward-Prowse,MF,Southampton,3,137,118,19,8,0,15,6,2,10,2,7,0,82,19,36,5,116,7,1,1,102,0,3,4,4
Ollie Watkins,FW,Aston Villa,2.3,56,52,4,0,0,15,0,1,0,0,0,0,43,10,3,8,40,3,1,2,48,0,1,1,1
Adam Webster,DF,Brighton,3,129,109,20,3,0,20,3,0,0,0,0,0,61,24,44,27,59,21,17,0,95,0,6,4,2
Danny Welbeck,FW,Brighton,3,62,62,0,0,0,15,0,1,0,0,0,0,49,6,7,6,48,1,0,3,55,0,0,2,1
Ben White,DF,Arsenal,2.6,152,128,24,3,0,16,5,4,0,0,0,0,99,18,35,19,100,7,21,0,123,0,3,2,5
Neco Williams,DF,Nott'ham Forest,3,133,96,37,8,0,13,6,9,8,3,5,0,53,28,52,10,96,6,21,0,84,0,1,4,8
Joe Willock,MF,Newcastle Utd,2.5,78,76,2,0,0,8,3,6,0,0,0,0,55,7,16,7,64,3,0,0,62,1,1,3,2
Callum Wilson,FW,Newcastle Utd,2.7,33,29,4,1,0,6,2,2,0,0,0,0,26,3,4,1,28,2,0,1,22,0,0,1,3
Yoane Wissa,FW,Brentford,2,36,36,0,0,0,13,0,2,0,0,0,0,28,2,6,6,27,1,0,0,26,0,1,2,1
Chris Wood,FW,Newcastle Utd,0.3,13,13,0,0,0,4,0,0,0,0,0,0,7,3,3,3,6,1,0,0,8,0,0,1,1
Joe Worrall,DF,Nott'ham Forest,3,134,125,9,2,0,7,3,0,0,0,0,0,90,8,36,8,100,17,7,0,110,0,1,4,0
Granit Xhaka,MF,Arsenal,3,153,143,10,6,0,21,1,1,0,0,0,0,120,17,16,113,26,5,4,2,131,1,1,6,3
Ryan Yates,MF,Nott'ham Forest,0.4,16,16,0,0,0,3,1,0,0,0,0,0,10,0,6,3,10,3,0,0,15,0,0,0,0
Ashley Young,DF,Aston Villa,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Wilfried Zaha,FW,Crystal Palace,2.9,79,76,3,1,0,22,0,5,0,0,0,0,71,4,4,12,66,1,0,0,61,1,2,4,6
Jordan Zemura,DF,Bournemouth,2,74,56,18,0,0,8,2,3,0,0,0,0,35,21,18,41,13,2,18,0,51,0,0,4,5
Oleksandr Zinchenko,DF,Arsenal,2.8,186,172,14,1,0,21,1,4,0,0,0,0,144,21,21,158,8,6,13,0,164,1,1,5,3
