Player,Pos,Squad,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
Player,Pos,Squad,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Emi Buendía,FWMF,Aston Villa,1.6,79,72,7,3,0,18,3,0,2,1,0,0,57,8,14,8,68,1,0,0,66,0,1,3,1
Dan Burn,DF,Newcastle Utd,3,100,78,22,4,0,5,3,1,0,0,0,0,47,23,30,54,11,14,18,0,85,0,0,2,0
Cafú,MF,Nott'ham Forest,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0
Moisés Caicedo,MF,Brighton,3,122,122,0,0,0,23,0,2,0,0,0,0,91,14,17,9,104,7,0,0,103,0,0,6,1
Tom Cairney,MF,Fulham,0.2,16,16,0,0,1,2,1,1,0,0,0,0,7,2,7,13,1,1,0,0,12,0,1,0,0
Chem Campbell,FW,Wolves,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Cancelo,DF,Manchester City,3,315,294,21,9,0,20,12,6,0,0,0,0,239,35,41,44,245,5,12,3,282,1,2,8,6
Diego Carlos,DF,Aston Villa,2,123,118,5,4,0,5,6,1,0,0,0,0,97,7,19,12,100,7,1,0,102,1,0,1,0
Fabio Carvalho,FWMF,Liverpool,0.5,18,17,1,0,0,5,0,0,0,0,0,0,15,3,0,4,12,0,1,0,17,0,0,0,1
Matty Cash,DF,Aston Villa,3,164,139,25,2,0,14,2,11,0,0,0,0,92,38,34,20,112,6,23,0,124,1,0,7,9
Timothy Castagne,DF,Leicester City,3,178,141,37,2,0,13,4,7,0,0,0,0,105,42,31,19,118,4,35,0,149,0,1,6,6
Jonny Castro,DF,Wolves,2.9,186,156,30,4,0,27,2,3,0,0,0,0,130,34,22,33,119,5,26,0,155,1,2,8,6
Calum Chambers,DF,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Chilwell,DF,Chelsea,0.9,44,35,9,2,0,7,1,1,2,1,0,0,29,5,10,31,6,2,5,0,35,0,0,0,2
Ryan Christie,MFFW,Bournemouth,1,29,28,1,0,0,6,2,0,1,0,0,0,21,5,3,22,6,0,0,1,23,0,0,1,0
Nathaniel Clyne,DF,Crystal Palace,2,105,84,21,0,0,11,0,4,0,0,0,0,54,27,24,8,64,10,21,1,83,0,4,2,2
Conor Coady,DF,Everton,1.9,92,90,2,1,0,3,5,0,0,0,0,0,66,6,20,1,85,3,1,1,81,1,1,1,1
Jack Colback,MF,Nott'ham Forest,1,25,24,1,1,0,8,0,0,0,0,0,0,18,2,5,21,2,1,0,0,22,0,0,1,0
Nathan Collins,DF,Wolves,3,215,212,3,3,0,18,5,0,0,0,0,0,172,11,32,32,166,13,0,0,195,0,0,3,0
Levi Colwill,DF,Brighton,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Lewis Cook,MF,Bournemouth,1.4,52,49,3,3,0,10,0,0,0,0,0,0,42,5,5,5,42,4,0,0,44,0,0,0,3
Steve Cook,DF,Nott'ham Forest,1.1,60,59,1,1,0,6,3,0,0,0,0,0,46,1,13,7,45,4,0,1,53,0,1,0,0
Maxwel Cornet,FW,West Ham,0.2,10,10,0,0,0,5,0,0,0,0,0,0,6,4,0,4,3,0,0,0,8,0,0,0,1
Vladimír Coufal,DF,West Ham,2.8,119,92,27,1,0,8,4,8,0,0,0,0,42,20,57,10,68,11,26,1,79,2,1,1,5
Philippe Coutinho,MFFW,Aston Villa,1.7,90,85,5,4,0,18,1,2,1,0,1,0,68,8,14,4,82,2,0,1,71,0,2,3,1
Conor Coventry,MF,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cresswell,DF,West Ham,3,159,124,35,2,0,8,5,7,6,0,6,0,86,30,43,120,6,4,27,0,127,0,1,2,4
Marc Cucurella,DF,Chelsea,2.2,188,152,36,3,0,16,5,7,5,0,3,0,138,25,25,121,36,3,28,0,156,3,1,5,6
Patson Daka,FW,Leicester City,0.8,13,11,2,0,0,2,0,1,0,0,0,0,10,0,3,3,7,1,1,0,6,0,0,1,1
Diogo Dalot,DF,Manchester Utd,2.9,169,141,28,0,0,18,5,4,0,0,0,0,97,24,48,14,115,7,28,1,121,2,5,10,6
Josh Dasilva,MF,Brentford,1.8,69,63,6,3,0,10,1,3,3,2,0,0,51,9,9,56,9,2,0,0,56,0,1,1,0
Ben Davies,DF,Tottenham,2.9,157,152,5,1,1,13,2,2,0,0,0,0,123,11,23,125,18,6,4,1,134,1,1,3,3
Tom Davies,MF,Everton,1.2,52,52,0,0,0,6,3,0,0,0,0,0,38,4,10,4,45,3,0,0,43,0,1,0,1
Kevin De Bruyne,MF,Manchester City,3,166,152,14,4,5,11,9,13,8,0,7,1,120,10,36,25,136,3,2,0,128,1,3,6,5
Leander Dendoncker,MF,Wolves,2.4,95,92,3,3,0,17,2,1,0,0,0,0,76,6,13,11,78,4,0,0,83,0,1,0,5
Halil Dervişoğlu,MF,Brentford,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiernan Dewsbury-Hall,MF,Leicester City,2.8,135,132,3,1,0,17,8,3,0,0,0,0,97,12,26,107,17,4,2,1,103,1,3,5,1
Ibrahima Diallo,MF,Southampton,0.2,9,9,0,0,0,1,0,0,0,0,0,0,8,1,0,1,8,0,0,0,9,0,0,0,0
Rúben Dias,DF,Manchester City,2.5,219,214,5,2,0,7,7,0,0,0,0,0,192,11,16,49,155,9,3,0,208,0,0,3,1
Luis Díaz,FW,Liverpool,2.9,105,104,1,0,0,18,2,2,0,0,0,0,84,12,9,12,83,4,1,0,85,0,5,0,4
Eric Dier,DF,Tottenham,3,188,184,4,4,0,13,10,0,0,0,0,0,152,11,25,18,160,6,0,0,165,1,2,3,4
Lucas Digne,DF,Aston Villa,3,211,180,31,2,0,28,3,16,4,2,1,0,128,38,45,163,6,9,25,0,170,0,5,4,6
Moussa Djenepo,DF,Southampton,2.8,109,91,18,0,0,15,2,5,0,0,0,0,64,12,33,31,54,5,18,0,77,1,3,2,5
