,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Player,Pos,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Dan Burn,DF,Newcastle Utd,3,139,21,61,53,27,8,117,0,3,0,0,0,52,109,43,1,0,0,1,0,61,57,93.4,1
Cafú,MF,Nott'ham Forest,0.1,3,1,2,1,0,0,3,0,0,,0,0,2,14,7,1,0,0,0,0,1,1,100,0
Moisés Caicedo,MF,Brighton,3,148,10,48,71,34,3,148,3,3,100,3,0,98,325,174,6,0,1,2,0,92,86,93.5,3
Tom Cairney,MF,Fulham,0.2,26,0,7,15,9,0,26,1,1,100,1,0,16,97,32,2,2,0,3,0,19,17,89.5,2
Chem Campbell,FW,Wolves,0.1,3,0,0,2,1,0,3,0,0,,0,0,2,2,0,0,0,0,0,1,6,2,33.3,2
João Cancelo,DF,Manchester City,3,338,7,55,208,98,9,318,7,10,70,7,2,268,1319,707,34,8,4,2,1,268,260,97,10
Diego Carlos,DF,Aston Villa,2,143,13,57,82,11,4,138,0,0,,0,0,95,341,182,4,1,0,1,0,101,101,100,0
Fabio Carvalho,FWMF,Liverpool,0.5,28,0,6,9,15,6,27,1,1,100,1,0,20,65,6,0,0,0,1,3,24,20,83.3,5
Matty Cash,DF,Aston Villa,3,194,9,40,93,76,3,171,2,3,66.7,2,0,130,953,596,20,9,2,4,1,137,125,91.2,7
Timothy Castagne,DF,Leicester City,3,207,7,58,89,74,4,171,2,5,40,3,0,131,543,304,21,6,0,2,4,143,130,90.9,6
Jonny Castro,DF,Wolves,2.9,225,11,83,99,50,5,196,4,6,66.7,4,0,147,631,385,13,4,1,4,2,156,150,96.2,3
Calum Chambers,DF,Aston Villa,0,3,3,3,0,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ben Chilwell,DF,Chelsea,0.9,52,0,9,17,31,2,44,0,0,,0,0,33,121,62,3,1,1,3,2,43,38,88.4,3
Ryan Christie,MFFW,Bournemouth,1,38,3,12,17,14,2,37,4,5,80,4,0,34,208,103,1,1,0,3,0,30,20,66.7,2
Nathaniel Clyne,DF,Crystal Palace,2,118,6,38,61,26,1,97,1,2,50,1,0,59,228,124,3,2,0,1,0,65,64,98.5,0
Conor Coady,DF,Everton,1.9,118,38,80,42,4,1,116,0,0,,0,0,72,452,312,4,1,0,0,1,79,78,98.7,1
Jack Colback,MF,Nott'ham Forest,1,37,4,16,18,3,0,37,0,1,0,1,0,25,108,40,2,0,0,0,4,21,20,95.2,0
Nathan Collins,DF,Wolves,3,239,29,138,112,9,3,236,2,3,66.7,3,0,171,902,462,7,1,0,4,0,176,176,100,2
Levi Colwill,DF,Brighton,0,1,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Lewis Cook,MF,Bournemouth,1.4,69,6,30,27,14,0,66,0,0,,0,0,39,269,126,3,0,0,0,3,41,35,85.4,0
Steve Cook,DF,Nott'ham Forest,1.1,77,22,45,36,1,1,76,0,0,,0,0,41,156,68,1,0,0,1,0,47,47,100,0
Maxwel Cornet,FW,West Ham,0.2,12,0,2,5,5,0,12,0,0,,0,0,8,24,3,0,0,0,1,1,18,10,55.6,2
Vladimír Coufal,DF,West Ham,2.8,145,8,35,69,49,2,118,0,0,,0,0,71,315,178,7,4,0,3,1,80,71,88.8,3
Philippe Coutinho,MFFW,Aston Villa,1.7,113,1,8,62,54,5,108,3,7,42.9,4,0,84,399,188,13,6,0,3,2,103,82,79.6,9
Conor Coventry,MF,West Ham,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Aaron Cresswell,DF,West Ham,3,179,9,59,77,52,3,143,0,0,,0,0,102,397,208,10,5,1,0,3,100,98,98,3
Marc Cucurella,DF,Chelsea,2.2,212,6,36,89,96,7,176,3,3,100,3,0,137,502,300,17,5,2,4,2,145,132,91,4
Patson Daka,FW,Leicester City,0.8,28,2,4,8,16,2,26,0,1,0,0,0,15,52,25,1,0,0,5,2,26,15,57.7,5
Diogo Dalot,DF,Manchester Utd,2.9,202,14,63,75,76,10,174,1,1,100,1,0,125,582,327,10,6,3,2,2,128,119,93,10
Josh Dasilva,MF,Brentford,1.8,85,1,21,38,35,5,81,1,1,100,1,0,58,424,282,10,7,2,1,2,70,59,84.3,6
Ben Davies,DF,Tottenham,2.9,198,25,81,107,23,2,193,0,0,,0,0,126,660,459,17,5,0,1,2,142,139,97.9,3
Tom Davies,MF,Everton,1.2,73,2,20,40,17,4,73,0,0,,0,0,39,171,81,2,2,1,2,2,45,42,93.3,2
Kevin De Bruyne,MF,Manchester City,3,194,2,16,79,114,10,180,4,5,80,4,0,146,704,421,23,7,5,2,3,165,155,93.9,22
Leander Dendoncker,MF,Wolves,2.4,117,4,36,70,18,6,114,0,3,0,1,1,68,257,102,4,1,0,3,0,83,74,89.2,2
Halil Dervişoğlu,MF,Brentford,0.1,2,0,0,0,2,1,2,0,0,,0,0,2,14,10,1,0,0,0,1,2,2,100,1
Kiernan Dewsbury-Hall,MF,Leicester City,2.8,169,3,31,93,52,4,166,4,5,80,4,0,123,620,333,19,3,1,6,3,135,126,93.3,6
Ibrahima Diallo,MF,Southampton,0.2,16,0,0,6,11,1,16,0,1,0,0,0,9,32,0,0,0,0,1,0,9,9,100,0
