,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Player,Pos,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Clément Lenglet,DF,Tottenham,0.1,8,2,6,6,0,0,8,0,0,,0,0,6,62,54,1,0,0,0,0,6,6,100,0
Bernd Leno,GK,Fulham,1,31,23,31,0,0,0,16,0,0,,0,0,7,17,1,0,0,0,0,0,7,7,100,0
Jefferson Lerma,DFMF,Bournemouth,3,140,30,72,60,12,3,132,0,0,,0,0,78,281,62,0,0,0,1,0,101,95,94.1,2
Rico Lewis,DF,Manchester City,0.1,12,0,0,11,1,0,12,0,0,,0,0,11,63,20,2,0,0,0,0,12,12,100,0
Keane Lewis-Potter,FWMF,Brentford,0.7,19,0,1,9,10,5,19,1,1,100,1,0,12,62,37,3,0,1,3,0,23,13,56.5,7
Jesse Lingard,MF,Nott'ham Forest,2.9,114,1,14,69,41,4,106,1,2,50,1,0,72,377,267,17,8,0,7,3,117,82,70.1,8
Diego Llorente,DF,Leeds United,3,153,36,101,55,6,3,147,1,2,50,1,0,65,297,164,2,0,0,0,0,75,75,100,1
Hugo Lloris,GK,Tottenham,3,88,79,88,0,0,0,59,0,0,,0,0,41,188,106,0,0,0,0,0,38,37,97.4,0
Ruben Loftus-Cheek,DFMF,Chelsea,2.3,138,7,30,63,52,10,132,7,13,53.8,10,0,96,422,289,17,1,2,5,5,108,93,86.1,13
Sean Longstaff,MF,Newcastle Utd,0.5,19,3,9,5,5,2,19,0,0,,0,0,9,34,9,1,0,0,0,2,14,11,78.6,4
Jamal Lowe,FW,Bournemouth,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Douglas Luiz,MF,Aston Villa,0.3,45,0,7,33,12,0,41,0,0,,0,0,32,161,106,8,3,0,1,0,38,37,97.4,1
Lyanco,MF,Southampton,0,3,0,3,0,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Alexis Mac Allister,MF,Brighton,3,181,8,43,113,34,1,175,1,1,100,1,0,125,595,298,12,2,0,0,3,121,120,99.2,4
James Maddison,MF,Leicester City,3,191,1,16,99,85,11,175,3,5,60,3,0,150,597,256,14,4,0,9,2,195,164,84.1,21
Harry Maguire,DF,Manchester Utd,2,142,16,69,65,17,1,139,0,0,,0,0,93,415,294,5,2,0,0,0,98,96,98,1
Riyad Mahrez,FW,Manchester City,1,87,0,3,33,56,4,84,3,3,100,3,0,79,356,202,12,3,0,1,0,82,76,92.7,5
Tyrell Malacia,DF,Manchester Utd,1.5,78,8,28,36,21,0,65,0,1,0,0,0,39,231,93,4,2,0,0,1,38,36,94.7,0
Orel Mangala,MF,Nott'ham Forest,1.7,83,1,13,57,19,1,83,1,1,100,1,0,62,300,158,7,1,1,2,2,60,56,93.3,2
Sekou Mara,FWMF,Southampton,0.9,22,0,1,10,12,2,20,5,9,55.6,5,0,18,44,5,0,0,0,1,1,22,14,63.6,3
Solly March,DFMF,Brighton,2.7,139,11,28,44,71,11,134,1,1,100,1,0,92,498,238,11,1,4,3,6,102,90,88.2,11
Anthony Martial,FW,Manchester Utd,0.5,18,0,2,10,8,2,16,3,4,75,3,0,15,79,42,3,1,0,2,1,17,12,70.6,2
Martinelli,FW,Arsenal,2.8,118,0,4,46,78,14,108,7,10,70,7,0,95,590,274,16,6,2,9,6,112,91,81.3,21
Emiliano Martínez,GK,Aston Villa,3,87,77,86,1,0,0,64,0,0,,0,0,41,139,91,0,0,0,0,0,36,36,100,0
Lisandro Martínez,DF,Manchester Utd,2.5,163,34,92,70,14,2,152,1,2,50,2,0,99,367,218,7,5,0,3,1,91,91,100,0
Jean-Philippe Mateta,FW,Crystal Palace,0.6,22,0,1,10,11,5,21,0,0,,0,0,12,67,11,2,0,2,1,0,25,19,76,7
Joël Matip,DF,Liverpool,1,105,16,63,51,4,0,105,2,3,66.7,2,0,77,606,475,7,2,0,0,1,78,77,98.7,0
Kevin Mbabu,DF,Fulham,0.2,14,0,4,4,6,0,12,0,0,,0,0,10,68,31,2,0,0,0,0,9,7,77.8,2
Bryan Mbeumo,FWDF,Brentford,2.8,100,3,22,32,53,11,89,4,5,80,4,0,65,302,109,7,0,2,3,4,95,64,67.4,11
John McGinn,MF,Aston Villa,2.8,173,2,24,105,48,0,164,2,3,66.7,2,0,122,391,189,11,2,0,3,5,119,110,92.4,3
Scott McKenna,DF,Nott'ham Forest,3,121,19,61,57,7,2,109,1,2,50,1,0,57,220,111,4,1,0,0,2,62,57,91.9,0
Dwight McNeil,FW,Everton,1.7,82,0,17,30,44,5,76,4,7,57.1,4,0,55,224,116,5,3,2,3,4,65,51,78.5,8
Scott McTominay,MF,Manchester Utd,2.4,107,7,31,59,24,3,107,4,5,80,4,1,84,292,166,7,4,0,7,2,79,71,89.9,5
Ben Mee,DF,Brentford,2.6,186,19,93,86,14,5,176,0,0,,0,0,118,530,242,6,0,0,2,0,119,118,99.2,0
Edouard Mendy,GK,Chelsea,3,89,78,88,1,0,0,70,0,1,0,0,0,47,149,71,0,0,0,0,0,46,44,95.7,0
Chris Mepham,DF,Bournemouth,3,174,51,125,50,2,2,170,0,0,,0,0,87,300,125,1,0,0,0,1,110,107,97.3,0
Illan Meslier,GK,Leeds United,3,98,87,98,0,0,0,67,0,0,,0,0,33,136,66,0,0,0,0,0,36,36,100,0
Alexander Mighten,FW,Nott'ham Forest,0.1,4,0,1,0,3,0,4,0,2,0,0,0,4,22,20,1,0,0,0,0,6,4,66.7,1
Luka Milivojević,MF,Crystal Palace,0.4,24,1,5,14,8,0,24,0,0,,0,0,18,49,11,0,0,0,0,1,18,18,100,0
James Milner,MF,Liverpool,1.8,134,5,27,65,46,15,132,3,5,60,3,1,96,232,100,5,1,1,3,7,121,104,86,19
Yerry Mina,DF,Everton,0.8,26,10,19,7,0,0,25,0,0,,0,0,11,50,11,0,0,0,0,0,13,13,100,0
Tyrone Mings,DF,Aston Villa,2,137,26,73,65,2,0,133,0,1,0,0,0,95,351,173,4,1,0,0,0,104,101,97.1,0
Tyrick Mitchell,DF,Crystal Palace,2.9,211,13,77,112,30,0,174,1,3,33.3,1,1,120,413,219,4,3,0,1,1,128,124,96.9,2
Kaoru Mitoma,DF,Brighton,0.2,11,0,1,3,7,3,10,2,2,100,2,0,10,25,11,1,0,0,1,0,8,7,87.5,1
Aleksandar Mitrović,FW,Fulham,3,119,5,15,54,57,22,116,3,5,60,5,1,59,203,96,5,0,2,16,7,174,85,48.9,14
Kieffer Moore,FW,Bournemouth,3,100,1,4,66,33,8,94,0,0,,0,0,45,155,30,1,1,0,11,7,117,75,64.1,9
Mason Mount,MFFW,Chelsea,2.6,173,5,15,55,113,17,162,3,7,42.9,4,0,120,496,260,19,4,5,5,4,164,126,76.8,23
Lucas Moura,DFFW,Tottenham,0.2,13,1,6,7,0,0,12,0,1,0,0,0,6,36,8,0,0,0,0,0,5,5,100,0
João Moutinho,MF,Wolves,0.6,48,1,9,26,16,0,45,0,0,,0,0,33,148,97,7,2,0,0,0,38,38,100,0
Jacob Murphy,FW,Newcastle Utd,0.3,7,0,1,1,5,0,7,0,1,0,0,0,6,2,2,0,0,0,1,1,11,6,54.5,3
Enock Mwepu,MFFW,Brighton,0.5,36,0,6,17,17,4,36,0,1,0,0,0,29,208,137,7,2,1,1,2,27,25,92.6,3
Vitaliy Mykolenko,DF,Everton,3,171,9,56,82,45,2,144,1,4,25,2,0,96,461,285,9,6,0,5,2,105,95,90.5,4
Wilfred Ndidi,MF,Leicester City,3,190,7,43,133,21,1,185,2,4,50,2,1,134,444,170,7,2,0,4,1,135,132,97.8,2
Pedro Neto,FWDF,Wolves,2.6,131,1,18,48,74,13,119,7,14,50,8,3,101,702,436,21,3,7,5,5,126,93,73.8,14
Rúben Neves,MF,Wolves,3,222,17,65,123,46,0,206,2,4,50,2,0,134,605,225,8,2,0,3,2,136,130,95.6,3
Moussa Niakhate,DF,Nott'ham Forest,1.8,77,24,57,20,3,3,75,1,3,33.3,1,0,29,127,34,1,0,0,1,1,31,31,100,0
Rasmus Nissen,DF,Leeds United,3,171,11,72,74,27,3,143,0,2,0,0,0,71,166,81,3,0,1,0,0,103,95,92.2,6
Eddie Nketiah,FW,Arsenal,0.4,20,0,3,6,11,2,20,0,0,,0,0,15,58,26,2,0,1,2,1,23,17,73.9,4
Christian Nørgaard,MF,Brentford,2.7,137,10,41,75,23,1,131,1,2,50,1,0,78,274,108,6,1,0,1,2,85,76,89.4,0
Matheus Nunes,MF,Wolves,1,50,0,6,23,26,3,50,1,1,100,1,0,39,212,108,4,4,0,0,2,43,38,88.4,6
Darwin Núñez,FW,Liverpool,1.1,34,0,1,8,27,17,34,1,2,50,1,0,20,83,35,3,1,1,4,1,56,26,46.4,11
Lewis O'Brien,MF,Nott'ham Forest,2.8,121,12,41,73,18,0,118,2,3,66.7,2,0,84,580,369,14,4,0,1,7,59,56,94.9,0
Martin Ødegaard,MF,Arsenal,2.8,171,4,22,83,75,10,162,3,4,75,3,1,106,449,235,15,7,2,5,5,136,123,90.4,14
Michael Olise,FW,Crystal Palace,0.3,18,1,4,6,9,0,17,1,3,33.3,1,0,11,42,24,0,0,0,1,3,11,11,100,1
Amadou Onana,MF,Everton,0.5,24,2,9,8,8,3,24,1,1,100,1,0,14,84,47,1,1,0,0,2,15,15,100,1
Frank Onyeka,MF,Brentford,0.1,7,1,2,4,2,0,7,0,0,,0,0,4,11,0,0,0,0,0,0,5,4,80,0
João Palhinha,MF,Fulham,3,114,8,32,70,16,3,111,1,1,100,1,0,46,232,110,3,1,0,1,3,59,48,81.4,1
Cole Palmer,MF,Manchester City,0,3,0,0,2,1,1,3,0,0,,0,0,2,5,0,0,0,0,1,0,2,2,100,0
Thomas Partey,MF,Arsenal,3,202,7,53,126,32,4,198,5,6,83.3,5,0,118,427,216,8,1,1,3,3,143,136,95.1,2
Nathan Patterson,DF,Everton,3,126,9,36,45,53,5,101,4,5,80,4,0,67,351,213,9,4,3,2,5,70,58,82.9,3
Ben Pearson,MF,Bournemouth,2.3,97,5,39,53,7,0,95,0,0,,0,0,54,98,28,0,0,0,1,1,65,61,93.8,1
Andreas Pereira,MF,Fulham,2.9,112,2,11,52,57,6,95,1,3,33.3,1,0,73,471,297,15,5,3,4,4,97,70,72.2,12
Ayoze Pérez,MF,Leicester City,0.7,47,2,9,20,21,4,47,2,5,40,2,2,36,81,44,3,1,0,0,5,39,33,84.6,11
Ivan Perišić,DF,Tottenham,1.2,75,3,11,23,42,6,65,2,3,66.7,2,0,37,166,93,5,0,2,4,3,52,41,78.8,9
Romain Perraud,DF,Southampton,0.2,12,0,0,2,11,2,11,0,0,,0,0,6,20,4,0,0,0,0,0,11,9,81.8,0
Kalvin Phillips,MF,Manchester City,0,8,0,0,7,2,0,8,0,0,,0,0,8,27,8,1,1,0,0,0,8,7,87.5,0
Nathaniel Phillips,DF,Liverpool,0.7,86,5,34,58,3,1,85,0,0,,0,0,59,500,343,9,1,0,1,0,56,56,100,0
Jordan Pickford,GK,Everton,3,114,89,111,4,0,0,88,0,0,,0,0,62,346,207,0,0,0,0,1,52,51,98.1,0
Daniel Podence,MFFW,Wolves,2.6,116,0,9,56,59,5,112,0,4,0,1,1,88,278,133,7,5,0,7,3,115,86,74.8,11
Nick Pope,GK,Newcastle Utd,3,90,81,89,1,0,0,70,0,0,,0,0,39,259,122,0,0,0,0,0,28,28,100,0
Dennis Praet,MF,Leicester City,0.3,15,0,4,10,4,0,15,0,0,,0,0,11,64,20,1,1,0,0,0,14,11,78.6,1
Christian Pulisic,MFFW,Chelsea,0.7,28,1,3,18,10,1,28,1,1,100,1,0,22,133,63,4,2,0,4,0,34,21,61.8,4
Aaron Ramsdale,GK,Arsenal,3,86,66,86,0,0,0,69,0,0,,0,0,49,233,118,0,0,0,0,0,44,44,100,0
Jacob Ramsey,MF,Aston Villa,2.5,159,5,23,97,54,3,159,2,4,50,3,0,120,579,345,18,10,2,2,8,124,114,91.9,11
Marcus Rashford,FW,Manchester Utd,2.9,98,3,9,34,60,16,98,6,8,75,6,0,82,349,242,17,2,7,8,5,111,77,69.4,18
David Raya,GK,Brentford,3,149,109,143,6,0,0,111,0,0,,0,0,76,472,264,0,0,0,0,0,78,77,98.7,0
Tim Ream,DF,Fulham,3,142,28,81,71,3,2,140,0,0,,0,0,69,461,267,4,0,0,1,0,68,68,100,0
Nathan Redmond,DF,Southampton,0,1,0,0,0,1,0,1,0,0,,0,0,1,7,3,0,0,0,0,0,2,1,50,0
Harrison Reed,MF,Fulham,3,138,5,29,66,47,5,133,1,6,16.7,1,0,76,287,141,5,2,0,6,1,82,69,84.1,4
Bobby Reid,FW,Fulham,3,117,3,17,53,54,14,117,2,3,66.7,2,0,78,400,243,11,5,1,5,6,108,80,74.1,13
Declan Rice,MF,West Ham,3,186,15,69,100,31,5,183,2,3,66.7,3,0,129,713,332,10,6,0,1,3,119,115,96.6,1
Chris Richards,DF,Crystal Palace,0.1,18,5,6,6,6,1,17,0,0,,0,0,4,17,8,1,0,0,0,0,5,5,100,0
Richarlison,MFFW,Tottenham,0.5,25,0,5,11,12,4,25,4,5,80,4,2,22,77,32,2,1,1,4,4,26,18,69.2,4
Andrew Robertson,DF,Liverpool,2.6,250,5,76,110,76,11,201,1,3,33.3,1,1,155,589,363,18,5,1,2,2,178,161,90.4,11
Antonee Robinson,DF,Fulham,3,146,15,58,56,39,2,123,2,6,33.3,2,0,72,384,218,8,3,0,1,1,71,64,90.1,1
Marc Roca,MF,Leeds United,2.4,139,8,48,77,25,2,136,1,1,100,1,0,81,315,157,6,3,0,1,1,96,88,91.7,1
Marek Rodák,GK,Fulham,2,66,60,66,0,0,0,44,0,0,,0,0,31,180,72,0,0,0,1,0,22,22,100,0
Rodri,MF,Manchester City,3,340,8,65,222,75,7,338,2,2,100,2,0,267,1145,593,22,7,0,4,3,281,278,98.9,4
Rodrigo,FWMF,Leeds United,2.6,108,2,13,50,50,18,105,1,4,25,2,0,57,268,119,10,1,4,9,1,126,79,62.7,17
Mads Roerslev,DF,Brentford,1,29,4,11,9,9,0,24,0,0,,0,0,11,37,14,1,0,0,0,0,10,10,100,0
Cristian Romero,DF,Tottenham,2,141,21,71,63,14,4,138,2,4,50,2,0,87,370,204,6,2,0,2,1,90,89,98.9,1
Oriol Romeu,MF,Southampton,0.8,37,1,5,20,14,2,37,1,1,100,1,0,23,109,48,3,1,0,1,0,24,22,91.7,2
Cristiano Ronaldo,FW,Manchester Utd,1.5,63,4,8,29,29,6,59,0,1,0,0,0,43,101,55,4,1,0,3,2,69,48,69.6,13
Salomón Rondón,FW,Everton,0.9,27,0,1,15,12,2,26,0,1,0,0,0,13,19,1,0,0,0,2,2,44,23,52.3,5
José Sá,GK,Wolves,3,107,99,107,0,0,0,80,0,0,,0,0,58,261,129,0,0,0,1,0,49,49,100,0
Allan Saint-Maximin,FW,Newcastle Utd,2.8,128,0,10,48,92,21,127,8,12,66.7,8,1,116,1037,764,41,15,9,7,7,113,101,89.4,20
Bukayo Saka,FW,Arsenal,2.9,148,2,22,47,90,18,140,4,6,66.7,4,0,103,619,418,26,7,7,3,6,126,100,79.4,15
Mohamed Salah,FW,Liverpool,3,133,0,4,34,98,30,132,7,10,70,7,1,113,350,166,15,1,7,10,14,178,111,62.4,32
William Saliba,DF,Arsenal,3,199,22,102,101,4,1,197,0,0,,0,0,123,673,243,6,0,0,0,1,134,133,99.3,0
Mohammed Salisu,DF,Southampton,3,199,23,88,106,18,2,185,6,6,100,6,1,113,493,154,4,2,0,0,3,107,106,99.1,0
Albert Sambi Lokonga,MF,Arsenal,0,6,0,0,4,2,0,6,0,0,,0,0,4,16,7,1,0,0,0,0,5,5,100,0
Davinson Sánchez,DF,Tottenham,1,52,9,30,20,3,2,51,0,0,,0,0,26,78,11,0,0,0,1,0,37,34,91.9,0
Robert Sánchez,GK,Brighton,3,102,86,102,0,0,0,72,0,0,,0,0,48,287,202,0,0,0,0,0,45,45,100,0
Jadon Sancho,FW,Manchester Utd,2.4,105,0,13,39,60,13,103,3,5,60,4,0,86,449,263,18,3,6,3,2,103,79,76.7,16
Gianluca Scamacca,FW,West Ham,0.9,23,0,0,16,7,4,23,0,0,,0,0,12,75,21,2,0,1,1,1,23,17,73.9,4
Fabian Schär,DF,Newcastle Utd,3,152,36,82,65,7,1,148,0,0,,0,0,71,372,173,8,1,0,1,0,65,65,100,0
Jeffrey Schlupp,MF,Crystal Palace,2.8,116,10,32,62,26,6,113,4,6,66.7,4,0,70,240,99,6,1,2,2,2,73,64,87.7,6
Nélson Semedo,DF,Wolves,0.4,26,0,8,9,11,1,22,0,0,,0,0,18,110,61,2,0,0,0,1,17,14,82.4,3
Marcos Senesi,DF,Bournemouth,0.6,29,10,24,5,0,0,29,0,0,,0,0,17,56,23,0,0,0,0,0,19,19,100,0
Ryan Sessegnon,DF,Tottenham,1.5,89,9,32,29,31,5,68,0,1,0,0,0,40,125,45,2,2,0,1,2,47,38,80.9,3
Luke Shaw,DF,Manchester Utd,1.5,119,2,30,56,39,2,103,0,0,,0,0,69,303,161,9,4,1,2,1,86,77,89.5,2
Bernardo Silva,FWMF,Manchester City,1.4,94,1,10,34,55,8,87,1,2,50,1,0,62,454,301,17,5,2,5,1,70,59,84.3,11
Thiago Silva,DF,Chelsea,3,239,30,109,134,8,1,235,0,0,,0,0,144,595,302,4,1,0,0,0,167,164,98.2,0
Luis Sinisterra,FW,Leeds United,0.3,21,1,6,12,5,0,21,0,0,,0,0,11,42,6,0,1,0,1,2,17,15,88.2,3
Adam Smith,DF,Bournemouth,3,143,12,57,58,36,3,122,1,2,50,1,0,73,369,200,8,4,0,3,1,88,78,88.6,4
Emile Smith Rowe,MFFW,Arsenal,0.3,15,1,4,5,7,1,13,2,3,66.7,2,0,9,16,10,1,0,0,0,1,8,4,50,1
Dominic Solanke,FW,Bournemouth,1,24,3,10,8,8,4,24,0,2,0,0,0,15,73,62,1,0,1,2,2,25,14,56,3
Manor Solomon,FW,Fulham,0.3,14,2,8,2,4,0,14,1,3,33.3,2,0,11,13,8,0,0,0,2,4,11,7,63.6,1
Tomáš Souček,MF,West Ham,3,114,8,39,51,32,10,113,0,1,0,0,0,65,290,159,8,2,0,2,1,77,69,89.6,3
Jack Stacey,DF,Bournemouth,1,31,4,17,11,5,0,28,1,1,100,1,0,19,109,86,6,2,0,0,0,20,18,90,2
Junior Stanislas,MF,Bournemouth,0.3,12,0,3,5,5,0,12,0,1,0,0,0,9,38,27,2,1,0,1,1,12,12,100,1
Jay Stansfield,FW,Fulham,0.9,36,2,9,16,16,5,36,0,0,,0,0,20,169,83,3,1,1,2,2,37,22,59.5,2
Jack Stephens,DF,Southampton,0.5,34,4,8,16,13,0,31,0,0,,0,0,22,160,66,1,3,0,0,1,25,24,96,0
Raheem Sterling,FWMF,Chelsea,2.9,120,1,8,42,83,19,116,5,13,38.5,5,0,105,456,315,17,6,4,9,11,142,99,69.7,20
John Stones,DF,Manchester City,1.3,72,5,34,41,2,0,70,0,0,,0,0,49,255,117,3,0,0,0,0,58,58,100,0
Pascal Struijk,DF,Leeds United,3,185,8,66,78,47,2,150,4,6,66.7,4,0,76,286,151,6,4,0,3,4,88,82,93.2,0
Crysencio Summerville,FW,Leeds United,0.1,2,0,0,1,2,1,2,0,0,,0,0,2,28,18,1,1,0,0,0,2,1,50,1
Sam Surridge,FW,Nott'ham Forest,0.9,33,4,12,11,12,3,33,0,2,0,0,1,18,45,29,2,0,0,4,2,43,24,55.8,3
Matt Targett,DF,Newcastle Utd,1,63,1,16,32,20,0,51,0,0,,0,0,39,191,110,2,1,0,0,0,41,38,92.7,1
James Tarkowski,DF,Everton,3,166,29,97,65,6,5,161,1,1,100,1,0,77,274,139,3,0,0,1,1,82,81,98.8,0
Marcus Tavernier,FWMF,Bournemouth,2.8,119,2,29,52,49,2,108,6,12,50,7,0,86,476,217,12,2,0,4,6,102,77,75.5,8
Kenny Tete,DF,Fulham,2.8,171,8,54,73,47,0,127,0,1,0,0,0,62,252,97,5,1,0,2,3,61,57,93.4,0
Youri Tielemans,MF,Leicester City,2,144,3,24,89,40,0,141,1,1,100,1,0,111,420,247,15,3,0,5,0,119,111,93.3,10
Kieran Tierney,DFFW,Arsenal,0.3,20,1,8,10,3,0,20,0,0,,0,0,9,71,43,2,1,0,0,0,13,12,92.3,0
Harry Toffolo,DF,Nott'ham Forest,3,152,20,55,48,57,4,131,1,1,100,1,0,85,413,205,8,3,2,2,4,85,75,88.2,1
Takehiro Tomiyasu,DF,Arsenal,0.4,22,1,6,13,4,0,20,0,0,,0,0,13,77,27,1,1,0,0,0,15,13,86.7,0
Ivan Toney,FW,Brentford,3,97,2,7,44,49,14,91,1,1,100,1,0,46,121,38,1,0,0,6,6,138,75,54.3,13
Adama Traoré,DFFW,Wolves,0.4,17,0,2,10,8,0,16,3,5,60,3,1,15,92,49,1,0,0,0,1,23,15,65.2,2
Mark Travers,GK,Bournemouth,3,99,96,98,1,0,0,54,0,0,,0,0,32,157,66,0,0,0,0,0,29,29,100,0
Kieran Trippier,DF,Newcastle Utd,3,208,15,57,77,81,1,160,0,0,,0,0,105,358,166,8,2,0,2,1,105,100,95.2,3
Leandro Trossard,DFFW,Brighton,2.6,124,2,14,49,74,17,119,1,4,25,1,1,93,559,393,17,8,5,4,4,93,86,92.5,10
Kostas Tsimikas,DF,Liverpool,0.4,37,0,6,16,18,1,30,0,0,,0,0,23,178,111,6,3,0,0,1,25,23,92,3
Deniz Undav,FW,Brighton,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Yan Valery,DF,Southampton,0.5,33,4,11,22,3,0,32,0,1,0,0,0,22,132,35,2,0,0,1,2,20,20,100,0
Virgil van Dijk,DF,Liverpool,3,282,39,142,137,10,3,279,0,0,,0,0,171,586,288,6,0,0,2,0,184,181,98.4,0
Raphaël Varane,DF,Manchester Utd,1.5,66,14,31,37,2,1,65,0,0,,0,0,34,209,73,1,1,0,0,0,34,32,94.1,1
Jamie Vardy,FW,Leicester City,2.5,49,7,9,17,23,8,42,0,1,0,0,0,19,42,23,1,0,0,4,3,72,25,34.7,16
Joël Veltman,DF,Brighton,3,190,21,72,91,29,3,157,1,1,100,1,0,79,282,155,3,1,0,0,1,81,80,98.8,0
Rúben Vinagre,DF,Everton,0.2,24,1,7,10,8,0,19,0,0,,0,0,14,64,28,2,1,0,0,1,14,13,92.9,0
Kyle Walker,DF,Manchester City,2.9,254,6,39,176,46,0,232,3,4,75,3,1,188,724,330,16,4,0,2,2,204,195,95.6,2
Kyle Walker-Peters,DF,Southampton,3,154,15,35,56,75,11,125,5,9,55.6,5,0,94,666,430,20,3,4,7,7,93,79,84.9,17
Aaron Wan-Bissaka,DF,Manchester Utd,0.1,6,2,4,2,0,0,5,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Danny Ward,GK,Leicester City,3,107,80,106,2,0,0,77,0,0,,0,0,56,286,133,0,0,0,0,0,49,48,98,0
Joel Ward,DF,Crystal Palace,2,109,16,54,40,18,1,98,0,0,,0,0,42,197,139,3,0,0,0,0,57,56,98.2,1
James Ward-Prowse,MF,Southampton,3,166,6,16,91,63,6,146,1,2,50,1,0,84,298,104,8,1,1,4,2,94,90,95.7,5
Ollie Watkins,FW,Aston Villa,2.3,81,0,0,28,56,12,77,1,3,33.3,1,0,49,141,64,3,1,1,6,3,100,58,58,15
Adam Webster,DF,Brighton,3,160,19,56,83,24,3,140,1,2,50,1,0,76,273,125,6,1,0,0,0,74,74,100,0
Danny Welbeck,FW,Brighton,3,92,1,2,31,61,17,92,2,2,100,2,0,66,286,81,9,1,1,10,3,116,74,63.8,24
Ben White,DF,Arsenal,2.6,191,9,54,99,47,1,168,1,3,33.3,1,0,104,469,244,7,4,0,2,0,111,111,100,1
Neco Williams,DF,Nott'ham Forest,3,190,24,73,75,56,8,153,6,8,75,7,0,97,573,373,13,5,2,4,3,87,78,89.7,6
Joe Willock,MF,Newcastle Utd,2.5,108,6,23,48,48,12,106,1,2,50,1,1,71,392,192,12,3,5,6,1,75,66,88,9
Callum Wilson,FW,Newcastle Utd,2.7,59,1,2,22,38,17,56,1,1,100,1,0,39,228,162,9,3,2,8,5,73,45,61.6,15
Yoane Wissa,FW,Brentford,2,65,2,7,28,36,5,65,0,1,0,0,0,37,187,106,6,2,2,4,5,82,47,57.3,11
Chris Wood,FW,Newcastle Utd,0.3,15,2,5,6,4,0,15,0,0,,0,0,7,56,18,0,0,0,0,1,13,10,76.9,2
Joe Worrall,DF,Nott'ham Forest,3,157,23,87,68,5,1,148,0,0,,0,0,80,309,151,5,0,0,0,0,98,95,96.9,0
Granit Xhaka,MF,Arsenal,3,176,9,29,96,56,10,167,1,1,100,1,0,107,376,175,8,3,0,0,3,141,131,92.9,14
Ryan Yates,MF,Nott'ham Forest,0.4,22,1,3,15,5,3,22,0,0,,0,0,12,51,20,1,0,0,0,0,18,16,88.9,1
Ashley Young,DF,Aston Villa,0,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Wilfried Zaha,FW,Crystal Palace,2.9,134,1,10,69,69,20,130,4,11,36.4,5,0,116,545,393,22,7,6,15,10,144,99,68.8,25
Jordan Zemura,DF,Bournemouth,2,93,6,33,48,17,2,75,3,5,60,4,0,55,183,110,6,1,1,1,1,63,52,82.5,0
Oleksandr Zinchenko,DF,Arsenal,2.8,206,6,42,114,65,5,192,2,3,66.7,2,1,139,850,477,19,8,2,2,1,149,144,96.6,5
Hakim Ziyech,MF,Chelsea,0.3,24,0,0,11,13,1,22,0,0,,0,0,17,72,26,1,0,1,1,0,20,19,95,0
Kurt Zouma,DF,West Ham,3,149,28,100,49,8,5,144,0,0,,0,0,86,467,222,7,2,0,1,0,99,99,100,0
