Player,Pos,Squad,90s,Gls,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected
Player,Pos,Squad,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
João Cancelo,DF,Manchester City,3,0,3,0,0,1,0,0,,23.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Diego Carlos,DF,Aston Villa,2,0,4,0,0,2.01,0,0,,15.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Fabio Carvalho,FWMF,Liverpool,0.5,0,4,1,25,8.37,2.09,0,0,14.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Matty Cash,DF,Aston Villa,3,0,2,0,0,0.67,0,0,,28.3,0,0,0,0,0,0.02,0,0
Timothy Castagne,DF,Leicester City,3,1,1,1,100,0.33,0.33,1,1,5.8,0,0,0,0.1,0.1,0.06,+0.9,+0.9
Jonny Castro,DF,Wolves,2.9,0,4,0,0,1.4,0,0,,21.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Calum Chambers,DF,Aston Villa,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ben Chilwell,DF,Chelsea,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ryan Christie,MFFW,Bournemouth,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Nathaniel Clyne,DF,Crystal Palace,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Conor Coady,DF,Everton,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jack Colback,MF,Nott'ham Forest,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Nathan Collins,DF,Wolves,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Levi Colwill,DF,Brighton,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Lewis Cook,MF,Bournemouth,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Steve Cook,DF,Nott'ham Forest,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Maxwel Cornet,FW,West Ham,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Vladimír Coufal,DF,West Ham,2.8,0,2,0,0,0.71,0,0,,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Philippe Coutinho,MFFW,Aston Villa,1.7,0,5,2,40,2.87,1.15,0,0,18.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Conor Coventry,MF,West Ham,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Aaron Cresswell,DF,West Ham,3,0,2,0,0,0.67,0,0,,18.5,1,0,0,0.1,0.1,0.06,-0.1,-0.1
Marc Cucurella,DF,Chelsea,2.2,0,4,0,0,1.84,0,0,,17.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Patson Daka,FW,Leicester City,0.8,0,1,0,0,1.25,0,0,,10.4,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Diogo Dalot,DF,Manchester Utd,2.9,0,4,3,75,1.36,1.02,0,0,19.2,0,0,0,0.5,0.5,0.13,-0.5,-0.5
Josh Dasilva,MF,Brentford,1.8,2,2,2,100,1.08,1.08,1,1,21.5,0,0,0,0.1,0.1,0.03,+1.9,+1.9
Ben Davies,DF,Tottenham,2.9,0,2,2,100,0.68,0.68,0,0,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Tom Davies,MF,Everton,1.2,0,3,0,0,2.41,0,0,,16.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Kevin De Bruyne,MF,Manchester City,3,1,9,4,44.4,3.03,1.35,0.11,0.25,19.9,1,0,0,0.5,0.5,0.06,+0.5,+0.5
Leander Dendoncker,MF,Wolves,2.4,0,3,2,66.7,1.27,0.85,0,0,16.5,0,0,0,0.3,0.3,0.12,-0.3,-0.3
Halil Dervişoğlu,MF,Brentford,0.1,0,1,0,0,11.25,0,0,,27.3,0,0,0,0,0,0.02,0,0
Kiernan Dewsbury-Hall,MF,Leicester City,2.8,1,2,1,50,0.71,0.36,0.5,1,24.9,0,0,0,0.1,0.1,0.03,+0.9,+0.9
Ibrahima Diallo,MF,Southampton,0.2,0,1,0,0,5.63,0,0,,21,0,0,0,0,0,0.05,0,0
Rúben Dias,DF,Manchester City,2.5,0,4,1,25,1.61,0.4,0,0,9,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Luis Díaz,FW,Liverpool,2.9,1,7,3,42.9,2.45,1.05,0.14,0.33,12.2,0,0,0,1.2,1.2,0.17,-0.2,-0.2
Eric Dier,DF,Tottenham,3,1,2,1,50,0.67,0.33,0.5,1,8.9,0,0,0,0.1,0.1,0.07,+0.9,+0.9
Lucas Digne,DF,Aston Villa,3,0,3,0,0,1,0,0,,16.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Moussa Djenepo,DF,Southampton,2.8,0,1,0,0,0.36,0,0,,14.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Matt Doherty,DF,Tottenham,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Gabriel Dos Santos,DF,Arsenal,3,0,2,0,0,0.67,0,0,,7,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Abdoulaye Doucouré,MF,Everton,1.4,0,2,1,50,1.45,0.73,0,0,12,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Cheick Doucouré,MF,Crystal Palace,2.7,0,2,0,0,0.74,0,0,,31.5,0,0,0,0,0,0.02,0,0
Flynn Downes,MF,West Ham,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Shane Duffy,DFFW,Fulham,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Lewis Dunk,DF,Brighton,3,0,1,0,0,0.33,0,0,,9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Malcolm Ebiowei,FW,Crystal Palace,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ederson,GK,Manchester City,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Odsonne Édouard,FW,Crystal Palace,1.7,0,5,2,40,2.92,1.17,0,0,11,0,0,0,0.7,0.7,0.14,-0.7,-0.7
Anthony Elanga,FW,Manchester Utd,0.9,0,1,0,0,1.17,0,0,,18.1,0,0,0,0.4,0.4,0.42,-0.4,-0.4
Harvey Elliott,MF,Liverpool,2.3,0,7,1,14.3,3.03,0.43,0,0,16.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Mohamed Elyounoussi,MFFW,Southampton,1.7,0,3,0,0,1.8,0,0,,17.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Emerson,DF,Tottenham,2.9,0,4,0,0,1.4,0,0,,12,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Christian Eriksen,MFFW,Manchester Utd,2.9,0,8,4,50,2.76,1.38,0,0,19.1,2,0,0,0.5,0.5,0.06,-0.5,-0.5
Pervis Estupiñán,DF,Brighton,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jonny Evans,DF,Leicester City,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Eberechi Eze,MFFW,Crystal Palace,2.8,0,4,1,25,1.43,0.36,0,0,17.4,1,0,0,0.5,0.5,0.14,-0.5,-0.5
Łukasz Fabiański,GK,West Ham,2.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Fabinho,MF,Liverpool,2,0,1,1,100,0.5,0.5,0,0,7.6,0,0,0,0,0,0.05,0,0
Bruno Fernandes,MF,Manchester Utd,3,0,5,1,20,1.67,0.33,0,0,18.4,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Roberto Firmino,FW,Liverpool,1.6,0,1,1,100,0.64,0.64,0,0,11,0,0,0,0,0,0.04,0,0
Phil Foden,FW,Manchester City,2.5,1,4,3,75,1.62,1.22,0.25,0.33,13.2,0,0,0,0.6,0.6,0.14,+0.4,+0.4
Wesley Fofana,DF,Leicester City,2,0,2,1,50,1,0.5,0,0,11.7,0,0,0,0.4,0.4,0.18,-0.4,-0.4
