Player,Pos,Squad,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Player,Pos,Squad,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive▼,PassDead,Drib,Sh,Fld,Def
Oleksandr Zinchenko,DF,Arsenal,2.8,5,1.81,5,0,0,0,0,0,1,0.36,1,0,0,0,0,0
Brenden Aaronson,FWMF,Leeds United,2.8,8,2.82,3,3,1,0,0,1,1,0.35,0,0,0,0,0,1
Aleksandar Mitrović,FW,Fulham,3,8,2.68,2,0,1,3,1,1,2,0.67,0,0,0,1,1,0
Ben Chilwell,DF,Chelsea,0.9,1,1.15,0,0,0,0,1,0,1,1.15,0,0,0,0,1,0
Ayoze Pérez,MF,Leicester City,0.7,2,2.81,1,0,0,0,1,0,1,1.41,0,0,0,0,1,0
Marc Roca,MF,Leeds United,2.4,3,1.23,2,0,0,0,1,0,1,0.41,0,0,0,0,1,0
Philip Billing,MFFW,Bournemouth,2,2,0.99,1,0,0,1,0,0,1,0.5,0,0,0,1,0,0
Fabio Carvalho,FWMF,Liverpool,0.5,1,2.09,0,0,0,1,0,0,1,2.09,0,0,0,1,0,0
Halil Dervişoğlu,MF,Brentford,0.1,1,11.25,0,0,0,1,0,0,1,11.25,0,0,0,1,0,0
Kai Havertz,FWMF,Chelsea,2.8,3,1.07,2,0,0,1,0,0,1,0.36,0,0,0,1,0,0
Jesse Lingard,MF,Nott'ham Forest,2.9,10,3.42,6,0,1,2,0,1,1,0.34,0,0,0,1,0,0
Solly March,DFMF,Brighton,2.7,5,1.82,4,0,0,1,0,0,1,0.36,0,0,0,1,0,0
Rodrigo,FWMF,Leeds United,2.6,6,2.29,4,0,0,2,0,0,1,0.38,0,0,0,1,0,0
Jay Stansfield,FW,Fulham,0.9,4,4.29,1,0,0,2,1,0,1,1.07,0,0,0,1,0,0
Pascal Struijk,DF,Leeds United,3,3,1,1,1,0,1,0,0,1,0.33,0,0,0,1,0,0
Ryan Yates,MF,Nott'ham Forest,0.4,2,5,0,0,0,2,0,0,1,2.5,0,0,0,1,0,0
Joe Aribo,FWMF,Southampton,2.3,3,1.3,2,0,1,0,0,0,1,0.43,0,0,1,0,0,0
Luis Díaz,FW,Liverpool,2.9,4,1.4,2,0,2,0,0,0,1,0.35,0,0,1,0,0,0
Danny Ings,FW,Aston Villa,1.9,5,2.69,3,0,1,1,0,0,1,0.54,0,0,1,0,0,0
Jadon Sancho,FW,Manchester Utd,2.4,11,4.54,10,0,1,0,0,0,1,0.41,0,0,1,0,0,0
Che Adams,FW,Southampton,1.4,2,1.48,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Tyler Adams,MF,Leeds United,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosin Adarabioyo,DF,Fulham,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan Aït Nouri,DF,Wolves,2.8,7,2.52,6,0,1,0,0,0,0,0,0,0,0,0,0,0
Nathan Aké,DF,Manchester City,2.2,2,0.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Thiago Alcántara,MF,Liverpool,0.6,1,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,DF,Liverpool,3,16,5.33,10,5,0,1,0,0,0,0,0,0,0,0,0,0
Alisson,GK,Liverpool,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dele Alli,FWMF,Everton,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Almirón,FW,Newcastle Utd,2.8,7,2.5,6,0,1,0,0,0,0,0,0,0,0,0,0,0
Julián Álvarez,FW,Manchester City,0.3,2,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Joachim Andersen,DF,Crystal Palace,3,2,0.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaidon Anthony,FW,Bournemouth,0.5,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail Antonio,FW,West Ham,2.2,3,1.36,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Cameron Archer,MF,Aston Villa,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphonse Areola,GK,West Ham,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart Armstrong,MFFW,Southampton,1.4,2,1.43,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwo Awoniyi,FW,Nott'ham Forest,1.8,4,2.26,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Jordan Ayew,FW,Crystal Palace,2.5,8,3.26,4,0,4,0,0,0,0,0,0,0,0,0,0,0
César Azpilicueta,DF,Chelsea,1.2,2,1.61,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Bamford,FW,Leeds United,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shandon Baptiste,MF,Brentford,0.6,1,1.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Barnes,MFFW,Leicester City,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin Bazunu,GK,Southampton,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mads Bech Sørensen,DF,Brentford,0.2,1,4.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Bednarek,DF,Southampton,1.8,1,0.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Donny van de Beek,MF,Manchester Utd,0.2,2,8.18,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Saïd Benrahma,FWMF,West Ham,2.2,11,5,7,0,0,2,2,0,0,0,0,0,0,0,0,0
Rodrigo Bentancur,MF,Tottenham,2.8,3,1.07,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Bissouma,MF,Tottenham,0.2,3,12.27,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Sven Botman,DF,Newcastle Utd,2,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod Bowen,FWMF,West Ham,2.9,4,1.37,1,1,0,2,0,0,0,0,0,0,0,0,0,0
Armando Broja,FW,Chelsea,0.2,1,5.29,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dan Burn,DF,Newcastle Utd,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Cafú,MF,Nott'ham Forest,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moisés Caicedo,MF,Brighton,3,4,1.33,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Cairney,MF,Fulham,0.2,1,4.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chem Campbell,FW,Wolves,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Cancelo,DF,Manchester City,3,7,2.33,6,0,0,0,0,1,0,0,0,0,0,0,0,0
Diego Carlos,DF,Aston Villa,2,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Matty Cash,DF,Aston Villa,3,9,3.01,8,0,1,0,0,0,0,0,0,0,0,0,0,0
Timothy Castagne,DF,Leicester City,3,2,0.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonny Castro,DF,Wolves,2.9,2,0.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Calum Chambers,DF,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Christie,MFFW,Bournemouth,1,3,2.9,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,DF,Crystal Palace,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Coady,DF,Everton,1.9,3,1.59,3,0,0,0,0,0,0,0,0,0,0,0,0,0
