Player,Pos,Squad,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Player,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Łukasz Fabiański,GK,West Ham,2.3,43,70,61.4,1364,934,8,8,100,18,18,100,17,44,38.6,0,0,0,0,0,0,0,0
Fabinho,MF,Liverpool,2,156,173,90.2,3141,581,59,62,95.2,70,76,92.1,26,32,81.3,0,0.1,-0.1,1,14,1,0,14
Bruno Fernandes,MF,Manchester Utd,3,124,162,76.5,2239,758,63,75,84,41,50,82,16,27,59.3,0,1,-1,6,16,8,2,22
Roberto Firmino,FW,Liverpool,1.6,64,79,81,1024,247,36,44,81.8,25,29,86.2,3,4,75,0,0.1,-0.1,1,5,1,0,6
Phil Foden,FW,Manchester City,2.5,127,147,86.4,2239,466,68,72,94.4,46,52,88.5,12,20,60,1,0.7,+0.3,7,8,3,1,12
Wesley Fofana,DF,Leicester City,2,116,132,87.9,2215,645,39,39,100,62,69,89.9,13,20,65,0,0,0,0,18,0,0,2
Pablo Fornals,MFFW,West Ham,2.4,78,103,75.7,1478,411,29,36,80.6,36,46,78.3,10,15,66.7,0,0.2,-0.2,3,12,2,1,10
Adam Forshaw,MF,Leeds United,0.4,9,9,100,156,85,5,5,100,2,2,100,2,2,100,0,0,0,0,2,0,0,2
Tyrese Francois,FW,Fulham,0,2,2,100,17,0,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0
Ryan Fraser,FW,Newcastle Utd,0.1,4,4,100,34,8,2,2,100,1,1,100,0,0,,0,0,0,1,0,0,0,0
Fred,MF,Manchester Utd,1.3,65,81,80.2,1187,230,30,36,83.3,24,27,88.9,10,14,71.4,0,0,0,0,5,0,0,5
Conor Gallagher,MF,Chelsea,0.8,28,36,77.8,538,94,13,13,100,11,12,91.7,4,6,66.7,0,0.2,-0.2,2,3,2,0,5
Alejandro Garnacho,MF,Manchester Utd,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
David de Gea,GK,Manchester Utd,3,44,79,55.7,1330,905,7,7,100,20,20,100,16,51,31.4,0,0,0,0,0,0,0,0
Joe Gelhardt,FW,Leeds United,0.2,1,1,100,11,8,1,1,100,0,0,,0,0,,0,0,0,0,1,0,0,0
Saman Ghoddos,FW,Brentford,0.1,0,1,0,0,0,0,0,,0,0,,0,1,0,0,0,0,0,0,0,0,0
Morgan Gibbs-White,FW,Wolves,2,76,97,78.4,1328,417,44,54,81.5,19,24,79.2,11,13,84.6,0,0.1,-0.1,1,9,3,0,10
Morgan Gibbs-White,MF,Nott'ham Forest,0.3,9,13,69.2,129,85,6,8,75,3,4,75,0,0,,0,0,0,0,2,0,0,1
Ben Godfrey,DF,Everton,0.2,3,4,75,77,25,0,0,,2,2,100,1,2,50,0,0,0,0,1,0,0,0
Joe Gomez,DF,Liverpool,1.3,130,140,92.9,2875,1010,27,29,93.1,76,76,100,24,30,80,0,0,0,0,13,1,0,12
Anthony Gordon,FW,Everton,3,45,64,70.3,779,126,20,25,80,16,22,72.7,6,9,66.7,0,0.2,-0.2,3,1,2,0,4
Demarai Gray,FW,Everton,2.9,57,88,64.8,1048,290,28,32,87.5,17,22,77.3,10,29,34.5,0,0.1,-0.1,4,4,1,0,7
Jack Grealish,FW,Manchester City,1.5,85,96,88.5,1287,272,55,57,96.5,24,30,80,6,9,66.7,0,0.5,-0.5,4,3,4,0,11
Sam Greenwood,MFFW,Leeds United,0.3,6,11,54.5,72,15,5,5,100,1,2,50,0,4,0,0,0,0,0,1,0,0,0
Pascal Groß,MFDF,Brighton,3,87,126,69,1515,591,43,52,82.7,29,40,72.5,11,24,45.8,1,0.5,+0.5,6,10,5,1,16
Vicente Guaita,GK,Crystal Palace,3,85,100,85,2423,1316,28,28,100,25,25,100,32,47,68.1,0,0,0,0,0,0,0,0
Gonçalo Guedes,FW,Wolves,1.3,27,33,81.8,393,84,22,24,91.7,3,5,60,2,3,66.7,0,0.1,-0.1,3,1,1,1,0
Marc Guéhi,DF,Crystal Palace,3,159,183,86.9,3577,1099,30,34,88.2,107,112,95.5,21,35,60,0,0.4,-0.4,2,7,0,0,8
Bruno Guimarães,MF,Newcastle Utd,3,113,133,85,2002,478,58,62,93.5,40,43,93,13,24,54.2,0,0.4,-0.4,3,8,6,0,13
İlkay Gündoğan,MF,Manchester City,2.6,134,150,89.3,2143,389,70,75,93.3,49,57,86,10,10,100,0,0.5,-0.5,10,10,5,0,11
Erling Haaland,FW,Manchester City,2.7,36,44,81.8,524,112,20,24,83.3,11,11,100,3,5,60,1,0.4,+0.6,2,2,2,0,4
Jack Harrison,FW,Leeds United,2.8,63,101,62.4,1040,440,34,45,75.6,19,34,55.9,7,16,43.8,3,0.7,+2.3,9,3,5,2,7
Kai Havertz,FWMF,Chelsea,2.8,55,69,79.7,722,155,35,40,87.5,14,22,63.6,2,2,100,0,0.1,-0.1,1,5,2,1,6
Hwang Hee-chan,FW,Wolves,1.7,26,33,78.8,355,55,8,11,72.7,13,15,86.7,0,1,0,1,0.5,+0.5,2,0,1,0,1
Dean Henderson,GK,Nott'ham Forest,3,72,135,53.3,2303,1427,15,15,100,23,23,100,34,97,35.1,0,0,0,0,4,1,0,0
Jordan Henderson,MF,Liverpool,2,111,142,78.2,2401,605,45,50,90,42,59,71.2,24,31,77.4,0,0.2,-0.2,4,15,7,1,12
Rico Henry,DF,Brentford,3,74,104,71.2,1223,387,33,39,84.6,32,44,72.7,5,16,31.3,1,0.1,+0.9,1,2,2,1,4
Son Heung-min,MFFW,Tottenham,2.7,53,78,67.9,878,248,26,31,83.9,21,27,77.8,5,16,31.3,1,0.4,+0.6,5,3,3,1,4
Aaron Hickey,DF,Brentford,2.4,70,86,81.4,1284,317,33,37,89.2,32,36,88.9,5,10,50,0,0,0,0,6,2,0,6
Pierre Højbjerg,MF,Tottenham,3,157,175,89.7,3330,908,57,61,93.4,65,73,89,32,37,86.5,0,0.6,-0.6,4,20,4,0,19
Mason Holgate,DF,Everton,2.8,83,117,70.9,1908,471,17,23,73.9,50,56,89.3,14,35,40,0,0.1,-0.1,2,5,0,0,6
Will Hughes,MF,Crystal Palace,0.3,12,16,75,143,13,9,10,90,1,2,50,1,2,50,0,0,0,0,0,0,0,0
Kelechi Iheanacho,FW,Leicester City,0.4,7,9,77.8,48,5,7,8,87.5,0,0,,0,0,,1,0.1,+0.9,2,0,0,0,0
Danny Ings,FW,Aston Villa,1.9,32,40,80,414,69,18,21,85.7,8,9,88.9,2,4,50,0,0,0,1,2,1,0,2
Alex Iwobi,MF,Everton,3,117,143,81.8,2590,780,39,45,86.7,46,54,85.2,29,40,72.5,0,0.5,-0.5,8,21,3,2,12
Daniel James,FW,Leeds United,1.4,16,26,61.5,172,55,12,14,85.7,2,4,50,0,3,0,0,0.3,-0.3,1,0,1,1,1
Reece James,DF,Chelsea,3,189,224,84.4,3480,1088,73,81,90.1,86,98,87.8,22,34,64.7,0,0.4,-0.4,4,12,6,1,17
Vitaly Janelt,MFDF,Brentford,1.7,68,78,87.2,1343,326,29,29,100,29,31,93.5,10,18,55.6,0,0.1,-0.1,2,3,2,0,5
Pontus Jansson,DF,Brentford,3,111,125,88.8,2570,693,23,25,92,63,67,94,25,31,80.6,0,0,0,0,3,0,0,6
Mathias Jensen,MF,Brentford,2.1,72,97,74.2,1671,527,28,34,82.4,25,31,80.6,18,31,58.1,2,0.2,+1.8,4,5,0,0,5
Gabriel Jesus,FW,Arsenal,2.8,61,78,78.2,954,221,33,38,86.8,17,23,73.9,8,8,100,3,0.9,+2.1,4,7,4,1,6
Raúl Jiménez,FW,Wolves,0.4,1,2,50,29,0,0,1,0,1,1,100,0,0,,0,0,0,0,0,0,0,0
Joelinton,MF,Newcastle Utd,3,104,118,88.1,1685,523,62,71,87.3,29,31,93.5,11,14,78.6,1,0.3,+0.7,6,10,4,2,10
Ben Johnson,DF,West Ham,2.2,63,80,78.8,1480,555,20,21,95.2,28,31,90.3,14,24,58.3,0,0.1,-0.1,1,5,2,1,4
Brennan Johnson,FW,Nott'ham Forest,3,22,49,44.9,300,46,13,26,50,8,15,53.3,0,2,0,0,0,0,0,0,1,0,1
Jorginho,MF,Chelsea,2.5,138,159,86.8,2660,562,59,65,90.8,58,66,87.9,20,24,83.3,0,0.1,-0.1,3,23,2,0,15
James Justin,DF,Leicester City,3,112,138,81.2,1876,462,67,77,87,36,45,80,8,15,53.3,0,0,0,1,8,1,1,6
Boubacar Kamara,MF,Aston Villa,2.9,162,190,85.3,3063,755,68,77,88.3,63,70,90,27,34,79.4,0,0,0,1,16,1,0,11
Harry Kane,FW,Tottenham,3,51,64,79.7,1154,402,18,21,85.7,22,28,78.6,11,13,84.6,0,0.5,-0.5,6,8,4,1,11
N'Golo Kanté,MF,Chelsea,1.9,103,120,85.8,1822,272,48,51,94.1,40,47,85.1,13,17,76.5,0,0.2,-0.2,3,10,3,1,5
Neeskens Kebano,FW,Fulham,1.6,25,39,64.1,296,86,18,21,85.7,6,12,50,0,3,0,0,0.1,-0.1,1,0,1,0,1
Thilo Kehrer,DF,West Ham,1,58,63,92.1,1085,300,15,15,100,35,37,94.6,5,8,62.5,0,0,0,0,5,0,0,4
Lloyd Kelly,DF,Bournemouth,3,98,127,77.2,2178,1085,25,28,89.3,52,61,85.2,18,33,54.5,1,0,+1.0,1,7,2,2,1
Max Kilman,DF,Wolves,3,188,217,86.6,4155,1111,43,46,93.5,113,120,94.2,31,50,62,0,0,0,0,12,0,0,10
Mateusz Klich,MF,Leeds United,0.5,14,18,77.8,248,80,6,7,85.7,5,6,83.3,2,3,66.7,0,0.1,-0.1,2,1,2,0,3
Robin Koch,DF,Leeds United,3,99,127,78,2164,823,20,24,83.3,64,73,87.7,15,28,53.6,0,0,0,0,3,0,0,7
Ezri Konsa,DF,Aston Villa,2,100,113,88.5,2012,527,22,24,91.7,69,76,90.8,7,11,63.6,0,0,0,0,9,0,0,3
Kalidou Koulibaly,DF,Chelsea,2.7,177,205,86.3,3825,1464,55,61,90.2,86,95,90.5,34,45,75.6,0,0,0,0,24,2,0,16
Cheikhou Kouyaté,MF,Nott'ham Forest,0.1,7,7,100,93,27,5,5,100,2,2,100,0,0,,0,0,0,0,0,0,0,0
Emil Krafth,DF,Newcastle Utd,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Dejan Kulusevski,MFFW,Tottenham,2.9,74,87,85.1,1165,356,38,44,86.4,27,29,93.1,5,6,83.3,1,0.7,+0.3,7,1,6,2,10
Adam Lallana,MF,Brighton,2.2,74,86,86,959,187,46,49,93.9,21,24,87.5,2,5,40,0,0.2,-0.2,4,6,3,1,5
Tariq Lamptey,DF,Brighton,0.4,12,15,80,155,62,8,8,100,3,3,100,1,3,33.3,0,0,0,0,1,0,0,0
Manuel Lanzini,MFFW,West Ham,1,44,55,80,720,129,22,25,88,18,22,81.8,3,4,75,0,0,0,0,2,2,0,4
Roméo Lavia,MF,Southampton,3,103,110,93.6,2145,549,32,34,94.1,55,57,96.5,13,15,86.7,0,0,0,1,19,1,0,9
Clément Lenglet,DF,Tottenham,0.1,6,6,100,120,50,2,2,100,3,3,100,1,1,100,0,0,0,0,1,0,0,1
Bernd Leno,GK,Fulham,1,16,27,59.3,699,463,1,1,100,6,6,100,9,20,45,0,0,0,0,1,0,0,0
Jefferson Lerma,DFMF,Bournemouth,3,101,114,88.6,1953,543,37,40,92.5,48,50,96,14,21,66.7,0,0,0,0,4,0,0,3
Rico Lewis,DF,Manchester City,0.1,12,12,100,162,32,6,6,100,5,5,100,0,0,,0,0,0,0,3,0,0,0
Keane Lewis-Potter,FWMF,Brentford,0.7,9,14,64.3,59,12,8,11,72.7,0,0,,0,0,,0,0.7,-0.7,2,1,0,0,0
Jesse Lingard,MF,Nott'ham Forest,2.9,75,92,81.5,1178,323,35,42,83.3,28,35,80,6,9,66.7,0,0.2,-0.2,5,7,2,1,9
Diego Llorente,DF,Leeds United,3,95,114,83.3,2049,509,30,35,85.7,41,45,91.1,24,31,77.4,0,0,0,0,3,0,0,10
Hugo Lloris,GK,Tottenham,3,75,85,88.2,1932,1042,19,19,100,33,33,100,22,32,68.8,0,0,0,0,1,0,0,0
Ruben Loftus-Cheek,DFMF,Chelsea,2.3,78,95,82.1,1191,330,47,54,87,22,27,81.5,6,7,85.7,0,0.3,-0.3,3,8,2,0,10
Sean Longstaff,MF,Newcastle Utd,0.5,9,12,75,177,36,3,4,75,5,6,83.3,1,2,50,0,0.2,-0.2,1,0,0,0,1
Jamal Lowe,FW,Bournemouth,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Douglas Luiz,MF,Aston Villa,0.3,41,41,100,865,219,15,15,100,15,15,100,9,9,100,0,0.2,-0.2,2,4,1,0,3
Lyanco,MF,Southampton,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Alexis Mac Allister,MF,Brighton,3,133,152,87.5,2801,778,49,53,92.5,59,64,92.2,23,30,76.7,0,0,0,0,17,1,0,17
James Maddison,MF,Leicester City,3,128,161,79.5,2485,716,53,58,91.4,53,58,91.4,21,37,56.8,1,0.3,+0.7,6,17,6,0,20
Harry Maguire,DF,Manchester Utd,2,116,128,90.6,2795,755,31,32,96.9,52,58,89.7,30,34,88.2,0,0,0,1,11,0,0,6
Riyad Mahrez,FW,Manchester City,1,70,80,87.5,1506,307,33,36,91.7,20,22,90.9,17,21,81,0,0.2,-0.2,4,6,4,2,7
Tyrell Malacia,DF,Manchester Utd,1.5,49,58,84.5,723,244,32,35,91.4,12,12,100,4,9,44.4,0,0,0,0,1,0,0,2
Orel Mangala,MF,Nott'ham Forest,1.7,58,72,80.6,1050,176,24,30,80,28,31,90.3,5,9,55.6,0,0,0,1,3,1,0,4
Sekou Mara,FWMF,Southampton,0.9,10,13,76.9,132,33,6,8,75,1,1,100,1,1,100,1,0.2,+0.8,1,0,1,0,1
Solly March,DFMF,Brighton,2.7,69,97,71.1,1324,440,34,39,87.2,24,35,68.6,9,15,60,0,0.2,-0.2,2,7,2,1,10
Anthony Martial,FW,Manchester Utd,0.5,10,12,83.3,195,109,3,3,100,5,6,83.3,2,2,100,1,0.4,+0.6,2,3,0,0,3
Martinelli,FW,Arsenal,2.8,64,83,77.1,1068,277,33,38,86.8,19,25,76,7,13,53.8,0,0.6,-0.6,6,4,4,2,6
Emiliano Martínez,GK,Aston Villa,3,54,77,70.1,1517,832,20,20,100,16,16,100,18,41,43.9,0,0,0,0,0,0,0,0
Lisandro Martínez,DF,Manchester Utd,2.5,117,128,91.4,2491,746,33,36,91.7,56,60,93.3,21,25,84,0,0,0,0,9,0,0,5
Jean-Philippe Mateta,FW,Crystal Palace,0.6,14,17,82.4,198,0,9,10,90,4,5,80,0,0,,0,0,0,0,0,0,0,0
Joël Matip,DF,Liverpool,1,79,93,84.9,1747,554,24,26,92.3,40,47,85.1,15,18,83.3,0,0,0,0,8,1,0,6
Kevin Mbabu,DF,Fulham,0.2,11,14,78.6,202,129,6,7,85.7,2,2,100,3,5,60,1,0.3,+0.7,2,1,3,3,0
Bryan Mbeumo,FWDF,Brentford,2.8,51,80,63.8,936,309,24,34,70.6,16,24,66.7,9,15,60,0,0.3,-0.3,4,4,3,1,4
John McGinn,MF,Aston Villa,2.8,110,137,80.3,2291,892,40,45,88.9,50,57,87.7,18,32,56.3,0,0.2,-0.2,2,23,2,1,16
Scott McKenna,DF,Nott'ham Forest,3,62,92,67.4,1289,456,18,22,81.8,34,50,68,10,20,50,0,0,0,0,4,0,0,2
Dwight McNeil,FW,Everton,1.7,43,60,71.7,740,227,20,24,83.3,16,21,76.2,5,8,62.5,0,0.1,-0.1,2,2,4,1,5
Scott McTominay,MF,Manchester Utd,2.4,67,85,78.8,1207,363,29,38,76.3,29,31,93.5,7,11,63.6,0,0,0,0,5,0,0,6
Ben Mee,DF,Brentford,2.6,124,162,76.5,2654,806,46,51,90.2,60,67,89.6,18,37,48.6,0,0,0,0,9,3,2,7
Edouard Mendy,GK,Chelsea,3,66,79,83.5,1636,969,20,20,100,26,26,100,18,31,58.1,0,0,0,0,2,0,0,0
Chris Mepham,DF,Bournemouth,3,103,130,79.2,2154,761,34,39,87.2,50,56,89.3,17,31,54.8,0,0,0,0,1,0,0,2
Illan Meslier,GK,Leeds United,3,52,89,58.4,1159,492,18,18,100,22,22,100,12,49,24.5,0,0,0,0,0,0,0,0
Alexander Mighten,FW,Nott'ham Forest,0.1,1,1,100,12,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0
Luka Milivojević,MF,Crystal Palace,0.4,17,20,85,374,76,7,8,87.5,4,6,66.7,5,5,100,0,0,0,0,1,1,0,3
James Milner,MF,Liverpool,1.8,83,106,78.3,1681,508,32,37,86.5,36,42,85.7,12,21,57.1,1,0.7,+0.3,3,9,2,0,6
Yerry Mina,DF,Everton,0.8,14,18,77.8,390,127,2,2,100,6,7,85.7,6,7,85.7,0,0,0,0,2,0,0,1
Tyrone Mings,DF,Aston Villa,2,105,121,86.8,2399,798,20,22,90.9,66,69,95.7,18,28,64.3,0,0,0,0,10,1,0,3
Tyrick Mitchell,DF,Crystal Palace,2.9,139,182,76.4,2544,1177,53,58,91.4,71,80,88.8,11,32,34.4,1,0.3,+0.7,2,15,4,2,15
Kaoru Mitoma,DF,Brighton,0.2,7,9,77.8,93,63,5,5,100,2,2,100,0,1,0,0,0.2,-0.2,1,0,2,0,2
Aleksandar Mitrović,FW,Fulham,3,39,64,60.9,713,124,20,34,58.8,11,18,61.1,8,9,88.9,0,0,0,1,3,1,0,2
Kieffer Moore,FW,Bournemouth,3,42,67,62.7,631,106,24,33,72.7,12,18,66.7,4,7,57.1,0,0.1,-0.1,1,1,3,0,5
