,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Player,Pos,Squad,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov▼,Won,Lost,Won%
Jordan Zemura,DF,Bournemouth,2,1,0,0,4,2,0,3,3,1,0,0,0,5,0,5,0
Che Adams,FW,Southampton,1.4,0,0,0,1,2,1,2,0,1,0,0,0,5,3,16,15.8
Nélson Semedo,DF,Wolves,0.4,0,0,0,0,1,0,1,0,1,0,0,0,5,0,1,0
Patson Daka,FW,Leicester City,0.8,1,0,0,3,0,0,1,2,1,0,0,0,5,1,2,33.3
Jamie Vardy,FW,Leicester City,2.5,0,0,0,2,0,2,0,0,1,0,0,0,5,5,8,38.5
Riyad Mahrez,FW,Manchester City,1,0,0,0,0,2,1,5,1,0,0,0,0,5,0,1,0
Harvey Barnes,MFFW,Leicester City,0.8,0,0,0,1,4,0,2,0,0,0,0,0,5,1,1,50
Jack Stacey,DF,Bournemouth,1,1,0,0,1,0,0,1,2,0,0,0,0,5,1,0,100
Keane Lewis-Potter,FWMF,Brentford,0.7,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,
Sekou Mara,FWMF,Southampton,0.9,0,0,0,3,0,1,0,0,0,0,0,0,5,0,8,0
Jay Stansfield,FW,Fulham,0.9,0,0,0,1,1,0,0,4,0,0,0,0,5,0,2,0
Ben Chilwell,DF,Chelsea,0.9,0,0,0,0,4,0,1,0,0,1,0,0,4,0,2,0
João Moutinho,MF,Wolves,0.6,0,0,0,2,0,0,0,0,1,0,0,0,4,1,0,100
Kevin Mbabu,DF,Fulham,0.2,1,0,0,1,0,0,3,0,0,0,0,0,4,1,0,100
Sam Surridge,FW,Nott'ham Forest,0.9,1,0,0,2,2,0,2,0,0,0,0,0,4,3,6,33.3
Rúben Vinagre,DF,Everton,0.2,0,0,0,0,2,0,1,0,0,0,0,0,4,0,1,0
Gianluca Scamacca,FW,West Ham,0.9,0,0,0,3,1,1,0,1,0,0,0,0,4,4,3,57.1
Luis Sinisterra,FW,Leeds United,0.3,0,0,0,1,1,0,0,1,0,0,0,0,4,2,0,100
Douglas Luiz,MF,Aston Villa,0.3,1,0,0,1,1,0,0,0,0,0,0,0,4,0,0,
Mads Roerslev,DF,Brentford,1,0,0,0,0,1,0,0,3,0,0,0,0,4,2,1,66.7
Dele Alli,FWMF,Everton,0.4,0,0,0,0,1,0,0,0,0,0,0,0,4,1,2,33.3
Chris Wood,FW,Newcastle Utd,0.3,0,0,0,1,0,0,0,0,0,0,0,0,4,4,3,57.1
Ryan Yates,MF,Nott'ham Forest,0.4,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,100
Chris Richards,DF,Crystal Palace,0.1,0,0,0,0,0,0,0,2,0,0,0,0,4,4,0,100
Yoane Wissa,FW,Brentford,2,0,0,0,3,2,2,2,3,2,0,0,0,3,3,2,60
Marcos Senesi,DF,Bournemouth,0.6,0,0,0,0,0,0,0,1,2,0,0,0,3,1,0,100
Will Hughes,MF,Crystal Palace,0.3,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,
Christian Pulisic,MFFW,Chelsea,0.7,0,0,0,3,4,0,0,0,1,0,0,0,3,0,3,0
Michael Olise,FW,Crystal Palace,0.3,0,0,0,2,1,0,0,1,1,0,0,0,3,0,0,
Davinson Sánchez,DF,Tottenham,1,0,0,0,1,0,0,0,1,1,0,0,0,3,3,1,75
Yves Bissouma,MF,Tottenham,0.2,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,
Mateusz Klich,MF,Leeds United,0.5,0,0,0,5,3,0,2,0,0,0,0,0,3,0,1,0
Tom Cairney,MF,Fulham,0.2,0,0,0,0,1,0,1,1,0,0,0,0,3,1,1,50
Luka Milivojević,MF,Crystal Palace,0.4,0,0,0,2,0,0,1,1,0,0,0,0,3,0,1,0
Anthony Martial,FW,Manchester Utd,0.5,0,0,0,0,1,1,0,1,0,0,0,0,3,0,1,0
Richarlison,MFFW,Tottenham,0.5,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0
Fabio Carvalho,FWMF,Liverpool,0.5,0,0,0,3,1,0,0,1,0,0,0,0,3,1,4,20
Ibrahima Diallo,MF,Southampton,0.2,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,
Dennis Praet,MF,Leicester City,0.3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
Takehiro Tomiyasu,DF,Arsenal,0.4,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
Erling Haaland,FW,Manchester City,2.7,0,0,0,2,3,0,0,0,0,1,0,0,2,0,4,0
Enock Mwepu,MFFW,Brighton,0.5,0,0,0,0,0,0,2,3,2,0,0,0,2,0,3,0
Amadou Onana,MF,Everton,0.5,1,0,0,3,2,0,1,3,2,0,0,0,2,0,0,
Kostas Tsimikas,DF,Liverpool,0.4,1,0,0,0,1,0,4,1,1,0,0,0,2,0,2,0
Kaoru Mitoma,DF,Brighton,0.2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,
Shandon Baptiste,MF,Brentford,0.6,0,0,0,1,5,0,0,2,1,0,0,0,2,2,0,100
Yerry Mina,DF,Everton,0.8,1,0,0,1,2,0,0,0,1,0,0,0,2,0,2,0
Sean Longstaff,MF,Newcastle Utd,0.5,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,100
Lucas Moura,DFFW,Tottenham,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,100
Pervis Estupiñán,DF,Brighton,0.3,0,0,0,1,0,0,3,0,0,0,0,0,2,1,0,100
Anthony Elanga,FW,Manchester Utd,0.9,0,0,0,0,3,2,1,0,0,0,0,0,2,3,1,75
Salomón Rondón,FW,Everton,0.9,0,0,0,0,0,2,0,0,0,0,0,0,2,7,4,63.6
Eddie Nketiah,FW,Arsenal,0.4,0,0,0,3,1,1,0,1,0,0,0,0,2,0,3,0
Maxwel Cornet,FW,West Ham,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,3,1,75
Donny van de Beek,MF,Manchester Utd,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,50
Hakim Ziyech,MF,Chelsea,0.3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
Kieran Tierney,DFFW,Arsenal,0.3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,33.3
Adam Forshaw,MF,Leeds United,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Bernd Leno,GK,Fulham,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Manor Solomon,FW,Fulham,0.3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,
Jack Stephens,DF,Southampton,0.5,0,0,0,1,0,0,1,1,2,0,0,0,1,1,1,50
Jaidon Anthony,FW,Bournemouth,0.5,0,0,0,1,2,0,1,1,1,0,0,0,1,0,1,0
Morgan Gibbs-White,MF,Nott'ham Forest,0.3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
Sam Greenwood,MFFW,Leeds United,0.3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
Frank Onyeka,MF,Brentford,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Adama Traoré,DFFW,Wolves,0.4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
Raúl Jiménez,FW,Wolves,0.4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,50
Joe Gelhardt,FW,Leeds United,0.2,0,0,0,3,2,0,0,0,0,0,0,0,1,0,2,0
Shane Duffy,DFFW,Fulham,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100
Albert Sambi Lokonga,MF,Arsenal,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Jean-Philippe Mateta,FW,Crystal Palace,0.6,0,0,0,4,0,0,0,1,0,0,0,0,1,1,3,25
Julián Álvarez,FW,Manchester City,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Crysencio Summerville,FW,Leeds United,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Cafú,MF,Nott'ham Forest,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Levi Colwill,DF,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Tyrese Francois,FW,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ryan Fraser,FW,Newcastle Utd,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Saman Ghoddos,FW,Brentford,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Cheikhou Kouyaté,MF,Nott'ham Forest,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jacob Murphy,FW,Newcastle Utd,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Alphonse Areola,GK,West Ham,0.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,
Romain Perraud,DF,Southampton,0.2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
Tariq Lamptey,DF,Brighton,0.4,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,50
Armando Broja,FW,Chelsea,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,20
Chem Campbell,FW,Wolves,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Alexander Mighten,FW,Nott'ham Forest,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Kelechi Iheanacho,FW,Leicester City,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Deniz Undav,FW,Brighton,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Aaron Wan-Bissaka,DF,Manchester Utd,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7
Mads Bech Sørensen,DF,Brentford,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
Cameron Archer,MF,Aston Villa,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Calum Chambers,DF,Aston Villa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Conor Coventry,MF,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Halil Dervişoğlu,MF,Brentford,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Doherty,DF,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Flynn Downes,MF,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Malcolm Ebiowei,FW,Crystal Palace,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alejandro Garnacho,MF,Manchester Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ben Godfrey,DF,Everton,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Emil Krafth,DF,Newcastle Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clément Lenglet,DF,Tottenham,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rico Lewis,DF,Manchester City,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jamal Lowe,FW,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lyanco,MF,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cole Palmer,MF,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kalvin Phillips,MF,Manchester City,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Nathan Redmond,DF,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Junior Stanislas,MF,Bournemouth,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ashley Young,DF,Aston Villa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
